"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight"
"CA" "CA0003" "M599" "ALHAMBRA CIVIC CENTER LIBRARY" 21 84697 "101 S. FIRST ST.
ALHAMBRA, CA 91801
(34.092705, -118.126548)" "101 S. FIRST ST.
ALHAMBRA, CA 91801
" 34.092705 -118.126548 84697 1 0 0 10.5 10.5 20.3999999999999 30.9 2983297 0 5000 57199 3045496 1492531 547872 2040403 117923 51461 1500 170884 629321 2840608 198429 0 0 0 198429 24294 144185 929 5035 0 5142 0 19 0 19 140 2964 483237 115177 85215 409508 296212 760 123 1 478 343 31 13523 11097 608 87 118185 -1 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "101 S. FIRST ST." "ALHAMBRA" 91801 6265705008 "LOS ANGELES" 10116705 "CI" "SO" "Y" "N" 2012441 2.25 10352.0475 2022793.0475 59.0495106441033 0.000286792238812386 580.121346746655
"CA" "CA0005" "M601" "ALTADENA LIBRARY DISTRICT" 21 52908 "600 E. MARIPOSA ST.
ALTADENA, CA 91001
(34.189651, -118.137351)" "600 E. MARIPOSA ST.
ALTADENA, CA 91001
" 34.189651 -118.137351 52908 1 1 0 5.98 9.35 17.85 27.2 2753029 14298 7000 148527 2922854 1369888 492958 1862846 133838 21119 14563 169520 576611 2608977 0 0 0 0 0 0 118754 1594 4891 85 4161 0 9 0 9 211 4904 376994 48726 24313 233486 75846 3519 552 204 247 185 31 7992 6183 552 39 58623 39394 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "600 E. MARIPOSA ST." "ALTADENA" 91001 6267982950 "LOS ANGELES" 10116705 "LD" "MO" "Y" "N" 1665976 2.25 7651.29 1673627.29 52.6992837922512 0.000360073014022239 602.628022660172
"CA" "CA0007" "M603" "ANAHEIM PUBLIC LIBRARY" 11 348305 "500 W. BROADWAY
ANAHEIM, CA 92805
(33.831939, -117.918888)" "500 W. BROADWAY
ANAHEIM, CA 92805
