"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight"
"ID" "ID0010" "IDBNF" "BOUNDARY COUNTY DISTRICT" 33 11767 "6370 KOOTENAI
BONNERS FERRY, ID 83805
(48.696354, -116.310954)" "6370 KOOTENAI
BONNERS FERRY, ID 83805
" 48.696354 -116.310954 11690 1 0 0 0 1 6.95 7.95 295538 41478 4511 20179 361706 195356 32311 227667 31900 5710 4058 41668 42548 311883 0 0 0 0 0 0 35724 0 1548 0 3129 0 3 51 54 194 2912 75493 2400 10894 99293 33430 0 200 398 266 163 41 3304 2179 185 12 10988 1560 2015 2013-10-01 2014-09-30 1 7 0 0 0 "NO" "PO BOX Y" "BONNERS FERRY" 83805 2082673750 "BOUNDARY" 10979 "LD" "SO" "Y" "N" 528275 4.5 2781.045 531056.045 96.6636261350673 0.000107022190186282 56.8347810475645
"ID" "ID0014" "IDC" "COEUR D'ALENE PUBLIC" 13 47912 "702 E FRONT AVE
COEUR D'ALENE, ID 83814
(47.672556, -116.776566)" "702 E FRONT AVE
COEUR D'ALENE, ID 83814
" 47.672556 -116.776566 47597 1 0 0 3 5 15.1 20.1 1290430 0 2870 39600 1332900 743886 290937 1034823 110000 27778 0 137778 169572 1342173 0 0 0 0 0 0 87480 6206 5243 686 4561 0 7 51 58 144 3172 251084 37800 32750 605589 217859 31317 27982 28622 689 430 126 19913 9244 1747 61 68368 13356 2015 2013-10-01 2014-09-30 1 7 0 0 0 "NO" "702 E FRONT AVE" "COEUR D'ALENE" 83814 2087692315 "KOOTENAI" 147326 "CI" "SO" "Y" "N" 1269309 3 7327.08 1276636.08 40.5923969590653 0.000606890872909604 774.778784979095
"ID" "ID0020" "IDCL" "CLARKIA DISTRICT" 43 88 "377 POPLAR ST
CLARKIA, ID 83812
(47.011468, -116.254177)" "377 POPLAR ST
CLARKIA, ID 83812
" 47.011468 -116.254177 87 1 0 0 0 0.5 0.1 0.6 19000 0 500 250 19750 NA NA NA 1150 0 500 1650 NA 17867 0 0 0 0 0 0 8925 0 72 0 1201 0 0 51 51 5 988 1562 1626 81 1361 251 0 0 0 7 5 1 42 20 2 4 1125 1200 2015 2013-10-01 2014-09-30 2 7 0 0 0 "NO" "PO BOX 1126" "CLARKIA" 83812 2082452908 "SHOSHONE" 12390 "LD" "SO" "Y" "N" 132819 22.5 149.4 132968.4 77.517427011208 0.000166418384570303 22.1283863268979
"ID" "ID0028" "IDER" "ELK RIVER DISTRICT" 43 143 "203 MAIN ST
ELK RIVER, ID 83827
(46.782634, -116.179618)" "203 MAIN ST
ELK RIVER, ID 83827
" 46.782634 -116.179618 142 1 0 0 0 1 1 2 68493 0 0 0 68493 NA NA NA 1548 1249 0 2797 NA 47008 0 0 0 4040 4040 0 15930 0 218 0 1832 0 0 51 51 3 3349 4763 5000 342 6345 1620 0 0 0 1 1 0 144 144 0 10 612 620 2015 2013-10-01 2014-09-30 1 7 0 0 0 "NO" "PO BOX 187" "ELK RIVER" 83827 2088263539 "CLEARWATER" 8562 "LD" "SO" "Y" "N" 234229 22.5 396.525 234625.525 89.8695573866666 0.00012381543690063 29.0502618859148
"ID" "ID0051" "IDL" "LEWISTON CITY PUBLIC" 13 32482 "411 D ST
LEWISTON, ID 83501
(46.421898, -117.028069)" "411 D ST
LEWISTON, ID 83501
" 46.421898 -117.028069 32269 1 0 0 3 3 14.55 17.55 1109000 4010 1145 11467 1125622 531133 167345 698478 62076 15304 15388 92768 258915 1050161 75500 0 0 14535 90035 116756 50286 2899 2104 1475 3897 0 6 51 57 142 2652 160035 25000 24916 174093 24744 8404 30900 36533 312 202 16 13965 12268 200 41 23652 13244 2015 2013-10-01 2014-09-30 1 7 0 0 0 "ME" "411 D ST" "LEWISTON" 83501 2087982525 "NEZ PERCE" 40007 "CI" "SO" "Y" "N" 735422 3 5555.88 740977.88 87.7028899641706 0.000130008632826897 96.3335211337727
"ID" "ID0055" "IDLNP-L" "PRAIRIE-RIVER DISTRICT" 42 16888 "103 N MAIN ST
LAPWAI, ID 83540
(46.407431, -116.803771)" "103 N MAIN ST
LAPWAI, ID 83540
" 46.407431 -116.803771 16777 1 7 0 0.25 1.25 7.33 8.58 503959 0 0 12488 516447 280806 89463 370269 27434 2005 6046 35485 87244 492998 0 0 0 0 0 11844 64240 2483 1203 1283 3050 0 0 51 51 26 8064 70212 25967 5133 70702 10296 2309 17347 21036 498 338 0 5279 4167 0 71 24621 9225 2015 2013-10-01 2014-09-30 1 7 0 0 0 "ME" "PO BOX 1200" "LAPWAI" 83540 2088437254 "NEZ PERCE" 40007 "LD" "MO" "Y" "N" 893942 4.5 3566.88 897508.88 92.6549471587598 0.000116483060958303 104.544581579658
"ID" "ID0060" "IDLC" "LATAH COUNTY DISTRICT" 42 38593 "110 S JEFFERSON ST
MOSCOW, ID 83843
(46.733594, -116.998588)" "110 S JEFFERSON ST
MOSCOW, ID 83843
" 46.733594 -116.998588 38339 1 6 0 2 2 14.35 16.35 1200142 0 0 30677 1230819 643346 231153 874499 87742 41651 20409 149802 200184 1224485 0 0 0 0 0 0 102676 2500 5306 1275 8239 0 10 51 61 231 8424 138300 34974 15969 270315 125154 9349 1682 595 746 686 16 16840 15731 141 35 23947 -1 2015 2013-10-01 2014-09-30 2 7 0 0 0 "ME" "110 S JEFFERSON ST" "MOSCOW" 83843 2088823925 "LATAH" 38411 "LD" "MO" "Y" "N" 1515451 3 5925.87 1521376.87 68.3034917864757 0.00021434540993135 326.100148860224
"ID" "ID0068" "IDMU" "MULLAN PUBLIC" 42 673 "117 HUNTER AVE
MULLAN, ID 83846
(47.47083, -115.801582)" "117 HUNTER AVE
MULLAN, ID 83846
" 47.47083 -115.801582 669 1 0 0 0 0.38 0.2 0.58 14337 0 0 6986 21323 NA NA NA 3177 0 427 3604 NA 20760 0 0 0 0 0 0 12137 6206 276 686 2162 0 0 51 51 0 1040 6563 150 406 8991 3430 16 2302 2103 14 14 0 283 283 0 10 7711 1542 2015 2013-10-01 2014-09-30 2 7 0 0 0 "NO" "PO BOX 479" "MULLAN" 83846 2087441220 "SHOSHONE" 12390 "CI" "SO" "Y" "N" 189925 22.5 541.275 190466.275 86.6218964202546 0.00013327375215732 25.3841551286779
"ID" "ID0072" "IDO" "OSBURN PUBLIC" 33 1504 "921 MULLAN AVE
OSBURN, ID 83849
(47.508077, -116.005987)" "921 MULLAN AVE
OSBURN, ID 83849
" 47.508077 -116.005987 1494 1 0 0 0 0.75 0.4 1.15 25029 10798 0 1067 36894 NA NA NA 3478 70 880 4428 NA 48342 0 0 0 0 0 0 6601 6206 129 686 659 0 1 51 52 19 1597 6750 1462 860 11139 5066 161 1717 1642 229 224 5 1629 1602 27 4 4256 0 2015 2013-10-01 2014-09-30 1 7 0 0 0 "NO" "PO BOX 809" "OSBURN" 83849 2087529711 "SHOSHONE" 12390 "CI" "SO" "Y" "N" 96484 14.25 815.46 97299.46 76.8276235282463 0.000169420204198412 16.4844943815953
"ID" "ID0083" "IDPLU" "PLUMMER PUBLIC" 42 1026 "800 D ST
PLUMMER, ID 83851
(47.334131, -116.891763)" "800 D ST
