"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight"
"MD" "MD0019" "MD0019" "ST. MARY'S COUNTY LIBRARY" 31 107484 "23250 HOLLYWOOD ROAD
LEONARDTOWN, MD 20650
(38.3047, -76.632815)" "23250 HOLLYWOOD ROAD
LEONARDTOWN, MD 20650
" 38.3047 -76.632815 107484 0 3 0 6 18.96 35.1 54.06 2476564 902817 0 268376 3647757 2071237 648828 2720065 272600 1014 150000 423614 542912 3686591 1e+05 0 0 0 1e+05 1e+05 184420 74480 19124 47947 43146 0 1 9 10 1771 9360 710401 150000 79828 1389321 597102 -1 4105 4900 2056 1338 63 31131 27831 900 110 250000 -1 2015 2013-07-01 2014-06-30 1 2 0 0 0 "ME" "23250 HOLLYWOOD ROAD" "LEONARDTOWN" 20650 3014752846 "ST. MARY'S" 110382 "CO" "MO" "Y" "N" 3234943 2.25 15364.17 3250307.17 85.7909345210087 0.000135868006316844 441.612755105242
"MD" "MD0020" "MD0020" "SOMERSET COUNTY LIBRARY" 31 26339 "11767 BEECHWOOD STREET
PRINCESS ANNE, MD 21853
(38.204373, -75.69247)" "11767 BEECHWOOD STREET
PRINCESS ANNE, MD 21853
" 38.204373 -75.69247 26339 1 2 0 4 4.6 9.1 13.7 465775 335709 0 114276 915760 420615 157984 578599 42916 0 33678 76594 122620 777813 570787 207539 0 0 778326 362381 48490 75033 6969 35876 13441 0 17 9 26 86 5616 88516 11963 10815 267334 60333 -1 5433 588 509 366 38 10009 9151 105 26 21875 4410 2015 2013-07-01 2014-06-30 1 2 0 0 0 "ME" "11767 BEECHWOOD STREET" "PRINCESS ANNE" 21853 4106510852 "SOMERSET" 25859 "CO" "MO" "Y" "N" 897988 3 4425.51 902413.51 85.703642936612 0.00013614491808102 122.859013394155
"MD" "MD0023" "MD0023" "WICOMICO PUBLIC LIBRARY" 13 99190 "122 SOUTH DIVISION STREET
SALISBURY, MD 21801
(38.365292, -75.600625)" "122 SOUTH DIVISION STREET
SALISBURY, MD 21801
" 38.365292 -75.600625 99190 1 2 1 4.5 16.5 24.67 41.17 1084754 1101660 0 277448 2463862 1232184 476158 1708342 151564 0 41550 193114 365660 2267116 23289 0 0 0 23289 23289 138727 74480 7203 36026 13168 0 17 9 26 53 7768 240335 49094 45207 601905 314353 -1 9342 1846 1737 654 283 18912 12398 1566 98 59626 37873 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "122 SOUTH DIVISION STREET" "SALISBURY" 21801 4107493612 "WICOMICO" 101539 "CO" "MO" "Y" "N" 2073373 2.25 12870.825 2086243.825 97.8981421508566 0.000104340064239493 217.678814719745
"MD" "MD0024" "MD0024" "WORCESTER COUNTY LIBRARY" 32 51514 "307 N WASHINGTON STREET
SNOW HILL, MD 21863
(38.17813, -75.393818)" "307 N WASHINGTON STREET
SNOW HILL, MD 21863
" 38.17813 -75.393818 51514 0 5 0 3 25.8 16.3999999999999 42.2 2243692 376087 0 13322 2633101 1560830 1007784 2568614 156830 0 54234 211064 486987 3266665 435278 0 0 0 435278 435278 180813 75033 16224 45047 16450 0 17 9 26 259 11284 482282 102700 20066 439260 120979 -1 5561 1223 630 453 21 18174 8806 160 116 74964 -1 2015 2013-07-01 2014-06-30 1 2 0 0 0 "ME" "307 N WASHINGTON STREET" "SNOW HILL" 21863 4106322600 "WORCESTER" 51675 "CO" "MO" "Y" "N" 2783918 2.25 9807.195 2793725.195 92.3587707485243 0.000117231335349112 327.512135208308
"NC" "NC0001" "R-ALBEMARLE" "ALBEMARLE REGIONAL LIBRARY" 42 78340 "303 W TRYON ST
WINTON, NC 27986
(36.390546, -76.934648)" "303 W TRYON ST
WINTON, NC 27986
