"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight"
"OR" "OR0023" "OR0023" "ASTORIA PUBLIC LIBRARY" 33 9525 "450 TENTH ST
ASTORIA, OR 97103
(46.188028, -123.832739)" "450 TENTH ST
ASTORIA, OR 97103
" 46.188028 -123.832739 9525 1 0 0 1 1 3.5 4.5 350743 1226 95040 11631 458640 212715 105573 318288 25646 3999 4215 33860 85612 437760 1500 0 0 0 1500 1500 48270 30806 1467 21575 1829 1285 3 24 27 79 2085 87108 5670 8905 63349 17422 4449 109 401 245 153 12 5810 4601 94 11 12079 7200 2015 2013-07-01 2014-06-30 2 8 0 0 0 "NO" "450 TENTH ST" "ASTORIA" 97103 5033257323 "CLATSOP" 37474 "CI" "SO" "Y" "N" 671880 7 2675.25 674555.25 91.5039623933317 0.00011943186072266 80.5633886677394
"OR" "OR0066" "OR0066" "RAINIER CITY LIBRARY" 23 1900 "106 B ST
RAINIER, OR 97048
(46.089104, -122.935864)" "106 B ST
RAINIER, OR 97048
" 46.089104 -122.935864 1900 1 0 0 0 0.5 0 0.5 44585 1000 0 6215 51800 NA NA NA 3291 2700 356 6347 NA 45694 0 0 0 0 0 0 9300 30806 325 21575 402 1285 0 24 24 3 1040 4237 250 629 5992 2752 217 20 25 4 4 0 250 250 0 7 1560 -1 2015 2013-07-01 2014-06-30 1 8 0 0 0 "NO" "PO BOX 100" "RAINIER" 97048 5035567301 "COLUMBIA" 49459 "CI" "SO" "Y" "N" 130705 14.25 887.25 131592.25 75.3931265923439 0.000175928618269059 23.1508427174166
"OR" "OR0072" "OR0072" "SCAPPOOSE PUBLIC LIBRARY" 31 12431 "52469 SE 2ND ST
SCAPPOOSE, OR 97056
(45.756572, -122.87632)" "52469 SE 2ND ST
SCAPPOOSE, OR 97056
