"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight"
"FL" "FL0007" "FSCS5005" "SUWANNEE RIVER REGIONAL LIBRARY SYSTEM" 42 77822 "1848 OHIO/M L KING AVENUE SOUTH
LIVE OAK, FL 32064
(30.29342, -82.992586)" "1848 OHIO/M L KING AVENUE SOUTH
LIVE OAK, FL 32064
" 30.29342 -82.992586 76452 1 7 0 3 3 35.68 38.68 1904470 1356428 0 0 3260898 1089037 416791 1505828 106888 38249 0 145137 53965 1704930 0 0 0 0 0 0 210710 3186 10342 417 27894 0 8 59 67 358 17576 345800 136865 51553 330483 78147 9334 491 902 3778 1787 472 46357 30539 1609 130 95680 -1 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "1848 OHIO/M L KING AVENUE SOUTH" "LIVE OAK" 32064 3863622317 "SUWANNEE" 44022 "MJ" "MO" "Y" "N" 3246802 2.25 11054.985 3257856.985 48.2052784226523 0.000430339101550337 1401.98324790439
"FL" "FL0021" "FSCS5019" "COLUMBIA COUNTY PUBLIC LIBRARY" 32 67826 "308 NW COLUMBIA AVENUE
LAKE CITY, FL 32055
(30.192183, -82.637974)" "308 NW COLUMBIA AVENUE
LAKE CITY, FL 32055
" 30.192183 -82.637974 66632 1 2 0 4 6.75 17.55 24.3 505092 172922 0 1057 679071 737441 232300 969741 112017 15898 16689 144604 183780 1298125 0 0 0 0 0 0 123025 30637 4549 417 7739 0 9 59 68 178 7066 258527 45448 15306 336171 101754 7116 1870 1315 947 487 2 14092 10574 4 50 61371 -1 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "308 NW COLUMBIA AVENUE" "LAKE CITY" 32055 3867581018 "COLUMBIA" 67857 "CO" "MO" "Y" "N" 1763633 2.25 8223.255 1771856.255 63.0654285569844 0.000251430116963253 445.498025436721
"FL" "FL0030" "FSCS5032" "GADSDEN COUNTY PUBLIC LIBRARY" 41 48096 "732 S. PAT THOMAS PARKWAY
QUINCY, FL 32351
(30.576529, -84.592494)" "732 S. PAT THOMAS PARKWAY
QUINCY, FL 32351
" 30.576529 -84.592494 47249 1 2 1 1 7 5 12 358209 380591 0 29526 768326 454134 120355 574489 30120 8000 12145 50265 252011 876765 0 0 0 0 0 0 145350 237 3233 31 7737 0 4 59 63 107 8500 107734 20372 44601 72693 22627 245 181 792 927 628 79 13403 9627 1749 79 56063 -1 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "732 PAT THOMAS PARKWAY, QUINCY, FL" "QUINCY" 32351 8506277106 "GADSDEN" 46281 "CO" "MO" "Y" "N" 2037106 3 6128.64 2043234.64 87.4838237459048 0.000130660551250078 266.970164395656
"FL" "FL0044" "FSCS5047" "LEROY COLLINS LEON COUNTY PUBLIC LIBRARY SYST" 12 281292 "200 WEST PARK AVENUE
TALLAHASSEE, FL 32301
(30.442224, -84.283729)" "200 WEST PARK AVENUE
TALLAHASSEE, FL 32301
" 30.442224 -84.283729 276338 1 6 1 34.5 35.5 68 103.5 6511799 178220 47108 97 6737224 3708809 1235746 4944555 380505 149960 92177 622642 648663 6215860 1246550 0 0 0 1246550 1246550 672719 15912 33894 6273 44656 145 15 59 74 261 15736 1044881 236510 165141 1717805 654999 57999 5409 4783 883 751 30 35255 19876 364 347 316918 57870 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "200 WEST PARK AVENUE" "TALLAHASSEE" 32301 8506062665 "LEON" 283988 "CO" "MO" "Y" "N" 9785505 2.25 34512.21 9820017.21 74.388515449141 0.000180712509391129 1774.59995228317
"FL" "FL0135" "FL0135" "WILDERNESS COAST PUBLIC LIBRARIES" 42 57676 "1180 WEST WASHINGTON STREET
MONTICELLO, FL 32344
(30.545001, -83.88198)" "1180 WEST WASHINGTON STREET
MONTICELLO, FL 32344
" 30.545001 -83.88198 56660 0 4 0 7.4 8.4 11.4 19.8 664690 623916 0 224 1288830 552155 185311 737466 56144 17613 8937 82694 286775 1106935 65559 0 0 0 65559 6310 104119 2881 3211 177 8190 0 4 59 63 12 9907 158942 15992 29070 122870 31151 3267 838 1168 1627 543 309 23764 11327 2988 86 46402 -1 2015 2013-10-01 2014-09-30 2 5 0 0 0 "ME" "P.O. BOX 551" "MONTICELLO" 32345 8509977400 "JEFFERSON" 14050 "MJ" "MA" "Y" "N" 1505786 2.25 6863.13 1512649.13 50.3558730167923 0.00039436624981748 596.537764687774
"FL" "FL0147" "FL0147" "THREE RIVERS REGIONAL LIBRARY SYSTEM" 33 64837 "305 W. MAIN ST.
MAYO, FL 32066
(30.053015, -83.177744)" "305 W. MAIN ST.
MAYO, FL 32066
" 30.053015 -83.177744 63695 0 6 1 2 5 16.5 21.5 608613 598595 0 0 1207208 559491 198757 758248 91005 10600 0 101605 339087 1198940 0 0 0 0 0 0 145985 14336 5810 1941 10356 0 0 59 59 202 12465 203392 21006 34707 238854 58941 16589 1560 1141 1337 175 58 17477 4911 1285 60 47540 4925 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "PO BOX 1340" "MAYO" 32066 3862943856 "LAFAYETTE" 8835 "MJ" "MA" "Y" "N" 2113289 2.25 7601.4975 2120890.4975 63.3413978314996 0.000249244000621474 528.619232476968
"FL" "FL0149" "FL0149" "NEW RIVER PUBLIC LIBRARY COOPERATIVE" 32 69961 "110 N. LAKE AVE
LAKE BUTLER, FL 32054
(30.023778, -82.338123)" "110 N. LAKE AVE
LAKE BUTLER, FL 32054
