"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight"
"TX" "TX0063" "155" "GIDDINGS PUBLIC LIBRARY" 33 5009 "276 N ORANGE ST
GIDDINGS, TX 78942
(30.183048, -96.92977)" "276 N ORANGE ST
GIDDINGS, TX 78942
" 30.183048 -96.92977 5009 1 0 0 0 1 3.95 4.95 261563 0 0 31514 293077 136091 47635 183726 10203 2632 0 12835 84616 281177 0 0 0 0 0 7964 31460 0 1445 0 648 0 0 51 51 46 2140 35443 1939 4977 34898 10578 0 1 21 302 81 3 6579 3005 1181 22 5175 4318 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "276 N ORANGE ST" "GIDDINGS" 78942 9795422716 "LEE" 16742 "CI" "SO" "Y" "N" 437777 7 1794.39 439571.39 92.6770237695211 0.000116427572665571 51.178229950931
"TX" "TX0097" "187" "HONDO PUBLIC LIBRARY" 32 9002 "1011 19TH ST
HONDO, TX 78861
(29.347692, -99.139593)" "1011 19TH ST
HONDO, TX 78861
" 29.347692 -99.139593 9002 1 0 0 0 0.73 3.45 4.18 222691 0 0 1579 224270 110809 35087 145896 12170 2123 0 14293 62502 222691 0 0 0 0 0 0 23590 4334 521 0 716 0 1 51 52 15 2418 49991 3824 7681 28988 7150 1671 10 456 41 34 4 2458 2382 48 18 34605 4244 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "1011 19TH ST" "HONDO" 78861 8304265333 "MEDINA" 47894 "CI" "SO" "Y" "N" 323756 7 2517.42 326273.42 53.322071940637 0.000351711012662634 114.753954953101
"TX" "TX0015" "111" "DRISCOLL PUBLIC LIBRARY" 32 4543 "202 E HONDO AVE
DEVINE, TX 78016
(29.13969, -98.904766)" "202 E HONDO AVE
DEVINE, TX 78016
" 29.13969 -98.904766 4543 1 0 0 0 0.85 1.23 2.08 84080 0 0 3640 87720 45154 7790 52944 5234 1500 1320 8054 27656 88654 0 0 0 50000 50000 0 18482 4549 428 1071 1567 163 0 51 51 25 1602 23582 195 1795 15532 5326 541 53 59 96 91 0 2817 2776 0 10 6468 0 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "303 S TEEL DR" "DEVINE" 78016 8306632993 "MEDINA" 47894 "CI" "SO" "Y" "N" 266976 10 1674.9 268650.9 46.4362903237488 0.000463751112480555 124.587153743902
"TX" "TX0044" "138" "FLORENCE PUBLIC LIBRARY" 42 1194 "207 E MAIN ST
FLORENCE, TX 76527
(30.841553, -97.793173)" "207 E MAIN ST
FLORENCE, TX 76527
" 30.841553 -97.793173 1194 1 0 0 0 0 0.6 0.6 10920 0 0 9060 19980 NA NA NA 546 0 0 546 NA 21779 0 0 0 11000 11000 620 13690 0 819 0 448 0 5 51 56 0 1540 7954 1244 2135 3536 1512 0 0 8 78 10 16 385 153 45 6 3628 178 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "PO BOX 430" "FLORENCE" 76527 2547932672 "WILLIAMSON" 489250 "CI" "SO" "Y" "N" 194711 14.25 600.435 195311.435 95.1245137241878 0.000110513440777882 21.5845387051157
"TX" "TX0045" "139" "SAM FORE JR WILSON COUNTY PUBLIC LIBRARY" 32 45418 "1 LIBRARY LN
FLORESVILLE, TX 78114
(29.130587, -98.157763)" "1 LIBRARY LN
FLORESVILLE, TX 78114
" 29.130587 -98.157763 45418 1 0 0 1.5 3.5 2.82 6.32 303167 0 0 23489 326656 177670 61565 239235 54275 6000 4822 65097 31546 335878 24465 0 0 0 24465 24465 42132 12919 1971 1068 2153 173 2 51 53 54 2357 99187 10807 19965 208094 38610 82723 114 1748 291 113 22 4669 3621 475 15 10689 3000 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "1 LIBRARY LN" "FLORESVILLE" 78114 8303937361 "WILSON" 46402 "CO" "SO" "Y" "N" 602705 3 5035.62 607740.62 28.7605074131741 0.00120894602651294 734.72560769951
"TX" "TX0052" "145" "PIONEER MEMORIAL LIBRARY" 33 24886 "115 W MAIN ST
FREDERICKSBURG, TX 78624
(30.275635, -98.87312)" "115 W MAIN ST
FREDERICKSBURG, TX 78624
" 30.275635 -98.87312 24886 1 0 0 1 1 4.43 5.43 317281 0 0 0 317281 170172 73031 243203 12018 8562 4420 25000 27140 295343 0 0 0 0 0 0 37336 0 1058 0 838 0 1 51 52 61 2346 46220 3258 8161 60405 18677 0 0 603 97 97 0 2572 2572 0 4 9727 3034 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "115 W MAIN ST" "FREDERICKSBURG" 78624 8309976513 "GILLESPIE" 25520 "CC" "SO" "Y" "N" 510989 4.5 4174.11 515163.11 62.505530575986 0.000255954699534516 131.858419031317
"TX" "TX0061" "153" "LIVE OAK COUNTY LIBRARY" 43 10824 "402 HOUSTON ST
GEORGE WEST, TX 78022
(28.334276, -98.114991)" "402 HOUSTON ST
GEORGE WEST, TX 78022
" 28.334276 -98.114991 10824 1 1 0 0 1.6 1.69 3.29 143012 0 0 5732 148744 70170 25361 95531 11605 0 3341 14946 21502 131979 0 0 0 0 0 0 29157 8007 643 1102 1704 1 1 51 52 25 3273 29042 3935 4983 10349 1761 339 14 0 40 36 2 515 487 16 14 4665 727 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "402 HOUSTON ST" "GEORGE WEST" 78022 3614491124 "LIVE OAK" 12091 "CO" "MO" "Y" "N" 410507 4.5 1954.74 412461.74 83.4810048859878 0.000143491000478754 59.1845477318078
"TX" "TX0062" "154" "GEORGETOWN PUBLIC LIBRARY" 21 54898 "402 W 8TH ST
GEORGETOWN, TX 78626
(30.636525, -97.680036)" "402 W 8TH ST
GEORGETOWN, TX 78626
" 30.636525 -97.680036 54898 1 0 1 9 20.5 0 20.5 1850730 0 0 86862 1937592 821618 294664 1116282 118362 24939 40946 184247 536836 1837365 0 0 0 0 0 0 90529 10717 9556 2224 6162 75 18 51 69 131 3921 361445 140602 44390 524516 186569 21004 217 324 514 334 51 15177 11625 972 35 66419 23567 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "402 W 8TH ST" "GEORGETOWN" 78626 5129303551 "WILLIAMSON" 489250 "CI" "MO" "Y" "N" 1384489 2.25 6780.615 1391269.615 84.401516167137 0.000140378146385539 195.303849676222
"TX" "TX0081" "172" "FRIENCH SIMPSON MEMORIAL LIBRARY" 43 2593 "705 E 4TH ST
HALLETTSVILLE, TX 77964
(29.444616, -96.937903)" "705 E 4TH ST
HALLETTSVILLE, TX 77964
" 29.444616 -96.937903 2593 1 0 0 0 1.6 1.28 2.88 155538 0 0 47000 202538 82529 33039 115568 15325 0 800 16125 102488 234181 0 0 0 0 0 0 29059 10674 788 1120 2238 0 0 51 51 37 1659 38157 5460 7227 51025 16011 3234 70 22 48 10 4 2775 1320 24 19 2906 0 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "705 E 4TH ST" "HALLETTSVILLE" 77964 3617983243 "LAVACA" 19721 "CI" "SO" "Y" "N" 418441 10 1209.9 419650.9 81.0522892551616 0.000152219197743494 63.8789233303351
"TX" "TX0111" "20" "AUSTIN PUBLIC LIBRARY" 11 885400 "800 GUADALUPE ST
AUSTIN, TX 78701
(30.271168, -97.745485)" "800 GUADALUPE ST
AUSTIN, TX 78701
" 30.271168 -97.745485 885400 1 21 0 88.38 88.38 250.57 338.95 31448359 0 34300 985277 32467936 16345180 7999504 24344684 1808257 1026167 654657 3489081 3502974 31336739 3130000 0 0 0 3130000 22416716 1079228 455429 105368 8959 110820 10493 65 51 116 366 55139 3188506 179985 508397 5381715 2525948 508537 1299 857 5864 3042 1182 157924 114128 18320 610 659122 329418 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "PO BOX 2287" "AUSTIN" 78768 5129747400 "TRAVIS" 1151145 "CI" "MO" "Y" "N" 16872616 2.25 110607 16983223 60.3292309086644 0.000274754252087738 4666.21273340426
"TX" "TX0116" "205" "JOHNSON CITY LIBRARY" 42 5119 "501 NUGENT ST
JOHNSON CITY, TX 78636
(30.280735, -98.411992)" "501 NUGENT ST
JOHNSON CITY, TX 78636
" 30.280735 -98.411992 5119 1 0 0 0 2 0.33 2.33 120091 0 0 2060 122151 79082 5325 84407 7932 1500 853 10285 27459 122151 22165 0 0 46028 68193 68193 15780 6798 916 1164 1108 38 0 51 51 14 2800 17144 647 2785 17174 5564 687 53 49 327 183 35 3914 2411 92 20 6351 980 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "PO BOX 332" "JOHNSON CITY" 78636 8308684469 "BLANCO" 10812 "LD" "SO" "Y" "N" 232534 7 1424.49 233958.49 52.3629787747346 0.000364713056769098 85.3277160449825
"TX" "TX0117" "206" "JOURDANTON COMMUNITY LIBRARY" 32 9250 "1101 CAMPBELL AVE
JOURDANTON, TX 78026
(28.917233, -98.54409)" "1101 CAMPBELL AVE
JOURDANTON, TX 78026
" 28.917233 -98.54409 9250 1 0 0 0 1 2 3 136352 0 0 9450 145802 73777 21692 95469 14601 0 2528 17129 23754 136352 0 0 0 0 0 0 32994 0 1016 0 68 0 0 51 51 53 2421 22344 3739 4288 21228 3026 0 0 0 53 53 0 1180 1180 0 12 5545 -1 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "1101 CAMPBELL AVE" "JOURDANTON" 78026 8307693087 "ATASCOSA" 47774 "CI" "SO" "Y" "N" 444243 7 2392.5 446635.5 45.4377213638836 0.000484358484851448 216.331694060869
"TX" "TX0122" "210" "KENDALIA PUBLIC LIBRARY" 42 3074 "2610B HWY 473
KENDALIA, TX 78027
(29.968924, -98.522498)" "2610B HWY 473
KENDALIA, TX 78027
" 29.968924 -98.522498 3074 1 0 0 0 0.5 0 0.5 27861 0 0 949 28810 NA NA NA 2910 0 827 3737 NA 28810 0 0 0 739 739 628 9501 0 392 0 767 0 0 51 51 5 959 2041 97 323 8284 4626 0 49 20 77 62 15 860 785 75 4 291 16 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "PO BOX 399" "KENDALIA" 78027 8303362002 "KENDALL" 38880 "NP" "SO" "Y" "N" 138825 10 997.2 139822.2 33.5170079121056 0.000890162953899449 124.46454257272
"TX" "TX0123" "211" "KENEDY PUBLIC LIBRARY" 33 6179 "303 W MAIN ST
KENEDY, TX 78119
(28.818619, -97.85026)" "303 W MAIN ST
KENEDY, TX 78119
" 28.818619 -97.85026 6179 1 0 0 0 2 0.62 2.62 107415 0 0 10923 118338 58395 23135 81530 19157 0 2475 21632 22582 125744 0 0 0 13000 13000 3037 21443 0 300 0 886 0 0 51 51 36 2384 14378 12994 2590 19301 7965 0 74 44 16 10 4 1207 1112 82 8 4606 629 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "303 W MAIN ST" "KENEDY" 78119 8305833313 "KARNES" 14906 "CI" "SO" "Y" "N" 295005 7 1690.59 296695.59 55.7886093195011 0.000321298670740489 95.3278986815652
"TX" "TX0125" "213" "BUTT-HOLDSWORTH MEMORIAL LIBRARY" 33 22663 "505 WATER ST
KERRVILLE, TX 78028
(30.048378, -99.143204)" "505 WATER ST
KERRVILLE, TX 78028
" 30.048378 -99.143204 22663 1 1 0 3 3 5.6 8.6 716458 0 0 36997 753455 343132 134671 477803 64312 15087 16572 95971 122338 696112 0 0 0 0 0 21238 51024 690 1618 156 3035 0 4 51 55 139 3954 98390 8774 7949 111720 31269 1493 23 1725 139 105 11 5160 4966 32 27 27004 15288 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "505 WATER ST" "KERRVILLE" 78028 8302578422 "KERR" 50562 "CI" "MO" "Y" "N" 726823 4.5 4349.505 731172.505 62.9094816051605 0.000252678207332834 184.751357814458
"TX" "TX0131" "219" "KYLE PUBLIC LIBRARY" 21 41016 "550 SCOTT ST
KYLE, TX 78640
(29.987615, -97.882242)" "550 SCOTT ST
KYLE, TX 78640
" 29.987615 -97.882242 41016 1 0 0 2 2 5 7 428042 0 0 99572 527614 266820 75750 342570 49030 9250 4850 63130 29252 434952 0 0 0 0 0 0 46026 6928 1056 1304 4612 76 3 51 54 52 2504 133154 39946 10804 153712 70994 5224 0 24 348 178 33 15829 14137 414 49 44883 15300 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "PO BOX 2349" "KYLE" 78640 5122687411 "HAYS" 185025 "CI" "SO" "Y" "N" 674903 3 4741.44 679644.44 39.5303393592073 0.000639939495572282 434.931320102106
"TX" "TX0134" "221" "FAYETTE PUBLIC LIBRARY" 33 4675 "855 S JEFFERSON ST
LA GRANGE, TX 78945
(29.899132, -96.872303)" "855 S JEFFERSON ST
LA GRANGE, TX 78945
" 29.899132 -96.872303 4675 1 0 0 0 1 2.85 3.85 160382 0 0 6126 166508 77731 25376 103107 17639 2620 5766 26025 34251 163383 0 0 0 0 0 0 14126 21450 474 971 4281 76 1 51 52 68 1891 87453 7952 5725 78721 23022 2702 31 58 48 48 0 1398 1398 0 19 8052 1261 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "855 S JEFFERSON ST" "LA GRANGE" 78945 9799683765 "FAYETTE" 24833 "CI" "SO" "Y" "N" 247192 10 1980 249172 88.3050860088786 0.0001282414926417 31.9541892045176
"TX" "TX0144" "230" "LEON VALLEY PUBLIC LIBRARY" 21 10808 "6425 EVERS RD
LEON VALLEY, TX 78238
(29.500845, -98.61338)" "6425 EVERS RD
LEON VALLEY, TX 78238
" 29.500845 -98.61338 10808 1 0 0 2 2 2.35 4.35 288871 0 0 10825 299696 157887 54069 211956 16040 1288 7596 24924 62816 299696 0 0 0 0 0 0 52280 88 1770 288 3525 0 4 51 55 42 2000 81353 7000 4348 30185 9914 58 12 168 83 70 5 2491 2194 22 7 6266 27021 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "6425 EVERS RD" "LEON VALLEY" 78238 2106840720 "BEXAR" 1855866 "CI" "SO" "Y" "N" 749336 4.5 2111.58 751447.58 20.1723328293354 0.00245746731213822 1846.65786463537
"TX" "TX0150" "236" "LLANO COUNTY LIBRARY SYSTEM" 33 19444 "102 E HAYNIE ST
LLANO, TX 78643
(30.75126, -98.675528)" "102 E HAYNIE ST
LLANO, TX 78643
" 30.75126 -98.675528 19444 1 2 0 0 4 5.82 9.82 432341 0 0 34311 466652 265420 103719 369139 38682 7852 7971 54505 47121 470765 0 0 0 0 0 0 47341 6928 3624 1264 4922 76 1 51 52 11 6491 92180 3773 15229 146808 22415 6063 20 61 646 537 61 9840 8213 726 28 17526 0 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "102 E HAYNIE ST" "LLANO" 78643 3252475248 "LLANO" 19510 "CO" "MO" "Y" "N" 727934 4.5 4097.94 732031.94 87.5643361769563 0.000130420385840641 95.4718880624731
"TX" "TX0151" "237" "DR EUGENE CLARK LIBRARY" 31 13098 "217 S MAIN ST
LOCKHART, TX 78644
(29.883175, -97.672136)" "217 S MAIN ST
LOCKHART, TX 78644
