"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight"
"CA" "CA0001" "M597" "ALAMEDA COUNTY LIBRARY" 21 557378 "2450 STEVENSON BLVD.
FREMONT, CA 94538
(37.55128, -121.971956)" "2450 STEVENSON BLVD.
FREMONT, CA 94538
" 37.55128 -121.971956 557378 1 9 1 33.57 41 181.54 222.54 21651663 244199 6239 3377547 25279648 11062357 5154962 16217319 2292309 1212410 621713 4126432 4590719 24934470 0 0 0 0 0 76672 883786 82376 44817 10190 92893 31902 38 0 38 1481 18406 4855755 431829 366506 6885335 3936174 410531 34755 29896 10614 4570 2063 191738 133201 15665 226 605665 0 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "2450 STEVENSON BLVD." "FREMONT" 94538 5107451504 "ALAMEDA" 1610921 "CO" "MO" "Y" "N" 13308871 2.25 71004.015 13379875.015 49.8935754601368 0.000401708244675568 5374.80610625413
"CA" "CA0002" "M598" "ALAMEDA FREE LIBRARY" 21 75988 "1550 OAK ST
ALAMEDA, CA 94501
(37.766836, -122.242712)" "1550 OAK ST
ALAMEDA, CA 94501
" 37.766836 -122.242712 75988 1 2 0 11 11 20.75 31.75 3851191 10000 0 36948 3898139 1715298 467932 2183230 189811 83959 27858 301628 1387307 3872165 50649 0 0 0 50649 50649 173200 3974 7684 4017 8314 0 61 0 61 243 5668 440585 76976 54726 510102 271948 14035 143 1095 626 468 29 21530 17517 393 53 46770 97391 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "1550 OAK ST" "ALAMEDA" 94501 5107477747 "ALAMEDA" 1610921 "CI" "MO" "Y" "N" 2465118 2.25 9891.69 2475009.69 38.6526224283208 0.000669332743665164 1656.60502640557
"CA" "CA0006" "M602" "AMADOR COUNTY LIBRARY" 42 36151 "530 SUTTER ST.
JACKSON, CA 95642
(38.352807, -120.7813)" "530 SUTTER ST.
JACKSON, CA 95642
" 38.352807 -120.7813 36151 1 4 0 1 1 6.5 7.5 809001 17126 5000 40997 872124 357364 188149 545513 15812 10000 4000 29812 143065 718390 0 0 0 0 0 0 92420 3540 3879 4078 6224 0 7 0 7 45 5000 82890 3432 28969 94281 19690 5599 583 986 166 110 10 2423 1814 40 21 16972 -1 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "530 SUTTER ST." "JACKSON" 95642 2092236400 "AMADOR" 36742 "CO" "MO" "Y" "N" 1334329 3 4378.59 1338707.59 63.1289880002969 0.000250924082765357 335.913974111772
"CA" "CA0009" "M605" "PLACER COUNTY LIBRARY" 21 193953 "350 NEVADA ST.
AUBURN, CA 95603
(38.905918, -121.082449)" "350 NEVADA ST.
AUBURN, CA 95603
" 38.905918 -121.082449 193953 1 10 1 8 8 32.1199999999999 40.1199999999999 5480656 25115 0 492842 5998613 2096324 1341146 3437470 209096 29725 27084 265905 2244697 5948072 0 0 0 0 0 0 260435 6264 27137 0 19765 0 11 1 12 378 18009 712674 16912 88411 1221323 494345 24756 257 82 1440 1199 117 34484 30226 1241 70 56010 -1 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "350 NEVADA ST." "AUBURN" 95603 5308864550 "PLACER" 371694 "CO" "MO" "Y" "N" 4003445 2.25 19109.8275 4022554.8275 63.8058976542634 0.000245628272665401 988.053193980694
"CA" "CA0011" "M607" "BERKELEY PUBLIC LIBRARY" 12 117372 "2090 KITTREDGE STREET
BERKELEY, CA 94704
(37.868392, -122.268643)" "2090 KITTREDGE STREET
BERKELEY, CA 94704
