"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
"CA" "CA0004" "M600" "ALPINE COUNTY LIBRARY/ARCHIVES" 43 1079 "270 LARAMIE ST.
MARKLEEVILLE, CA 96120
(38.693271, -119.780095)" "270 LARAMIE ST.
MARKLEEVILLE, CA 96120
" 38.693271 -119.780095 1079 1 1 1 1 1 1.62 2.62 239818 1000 0 5380 246198 125357 76004 201361 3031 237 1020 4288 34392 240041 0 0 0 0 0 0 21230 4176 912 1454 2032 0 3 0 3 60 2894 30548 399 2693 24649 7029 346 0 56 166 76 7 3657 816 295 9 6142 5270 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "PO BOX 187" "MARKLEEVILLE" 96120 5306942120 "ALPINE" 1116 "CO" "MO" "Y" "N" 315447 14.25 854.2725 370072.488825 469992.06080775 89.827533101347
"CA" "CA0006" "M602" "AMADOR COUNTY LIBRARY" 42 36151 "530 SUTTER ST.
JACKSON, CA 95642
(38.352807, -120.7813)" "530 SUTTER ST.
JACKSON, CA 95642
" 38.352807 -120.7813 36151 1 4 0 1 1 6.5 7.5 809001 17126 5000 40997 872124 357364 188149 545513 15812 10000 4000 29812 143065 718390 0 0 0 0 0 0 92420 3540 3879 4078 6224 0 7 0 7 45 5000 82890 3432 28969 94281 19690 5599 583 986 166 110 10 2423 1814 40 21 16972 -1 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "530 SUTTER ST." "JACKSON" 95642 2092236400 "AMADOR" 36742 "CO" "MO" "Y" "N" 1334329 3 4378.59 1566287.8803 1989185.607981 61.0655530804668
"CA" "CA0009" "M605" "PLACER COUNTY LIBRARY" 21 193953 "350 NEVADA ST.
AUBURN, CA 95603
(38.905918, -121.082449)" "350 NEVADA ST.
AUBURN, CA 95603
" 38.905918 -121.082449 193953 1 10 1 8 8 32.1199999999999 40.1199999999999 5480656 25115 0 492842 5998613 2096324 1341146 3437470 209096 29725 27084 265905 2244697 5948072 0 0 0 0 0 0 260435 6264 27137 0 19765 0 11 1 12 378 18009 712674 16912 88411 1221323 494345 24756 257 82 1440 1199 117 34484 30226 1241 70 56010 -1 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "350 NEVADA ST." "AUBURN" 95603 5308864550 "PLACER" 371694 "CO" "MO" "Y" "N" 4003445 2.25 19109.8275 4706389.148175 5977114.21818225 20.6061800590691
"CA" "CA0011" "M607" "BERKELEY PUBLIC LIBRARY" 12 117372 "2090 KITTREDGE STREET
BERKELEY, CA 94704
(37.868392, -122.268643)" "2090 KITTREDGE STREET
BERKELEY, CA 94704
" 37.868392 -122.268643 117372 1 4 0 35.2999999999999 35.2999999999999 77.0999999999999 112.4 16006855 30632 0 359228 16396715 7746542 4787289 12533831 557217 495141 160185 1212543 2210142 15956516 0 0 0 402639 402639 4391042 463916 18142 48054 801.105412 38636 0 10 0 10 755 13624 1335281 320385 109078 1973998 717583 146030 26489 29401 1987 1111 382 50275 36936 5677 129 176479 -1 2015 2013-07-01 2014-06-30 2 8 0 0 0 "ME" "2031 BANCROFT WAY" "BERKELEY" 94704 5109816195 "ALAMEDA" 1610921 "CI" "MO" "Y" "N" 7173498 2.25 24782.61 8421988.3137 10695925.158399 99.0705746095805
"CA" "CA0017" "M613" "BUTTE COUNTY LIBRARY" 32 222316 "1820 MITCHELL AVENUE
OROVILLE, CA 95966
(39.506008, -121.552846)" "1820 MITCHELL AVENUE
OROVILLE, CA 95966
" 39.506008 -121.552846 222316 1 5 0 6 6 22.25 28.25 3093624 0 65316 0 3158940 1353493 579893 1933386 65187 20572 47959 133718 862683 2929787 415433 0 0 0 415433 415433 236139 15973 10140 5200 13998 0 21 0 21 184 10788 622692 50391 95315 980903 262505 31791 424 204 2060 1401 105 27554 23132 776 56 87172 54519 2015 2013-07-01 2014-06-30 2 8 0 0 0 "ME" "1820 MITCHELL AVENUE" "OROVILLE" 95966 5305387525 "BUTTE" 224241 "CO" "MO" "Y" "N" 3388513 2.25 19243.83 3987075.4911 5063585.873697 29.178127265081
"CA" "CA0018" "M614" "CALAVERAS COUNTY LIBRARY" 42 44650 "1299 GOLD HUNTER ROAD
SAN ANDREAS, CA 95249
(38.189535, -120.662061)" "1299 GOLD HUNTER ROAD
SAN ANDREAS, CA 95249
" 38.189535 -120.662061 44650 1 7 0 1 1 5.85 6.85 392288 16199 0 49660 458147 259484 65841 325325 12225 0 0 12225 120597 458147 0 0 0 0 0 0 91123 0 4449 0 8937 0 0 0 0 9 9718 50847 5588 12383 108410 38678 0 353 149 248 245 0 2304 2238 0 32 33822 -1 2015 2013-07-01 2014-06-30 2 8 0 0 0 "ME" "1299 GOLD HUNTER ROAD" "SAN ANDREAS" 95249 2097546510 "CALAVERAS" 44624 "CO" "MO" "Y" "N" 1360174 3 5046 1597307.4 2028580.398 74.0835182441977
"CA" "CA0026" "M622" "COLUSA COUNTY FREE LIBRARY" 32 21660 "738 MARKET ST.
COLUSA, CA 95932
(39.214815, -122.011223)" "738 MARKET ST.
COLUSA, CA 95932
