"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"AR" "AR0010" "AR010-002" "COLUMBIA COUNTY LIBRARY" 33 25603 "2057 NORTH JACKSON
MAGNOLIA, AR 71753
(33.286316, -93.235268)" "2057 NORTH JACKSON
MAGNOLIA, AR 71753
" 33.286316 -93.235268 23887 1 1 0 1 3 4 7 343705 57872 0 33595 435172 206510 60347 266857 37393 4825 4687 46905 124667 438429 0 0 0 0 0 67486 148252 1144 1686 28 2274 0 4 52 56 73 3952 48487 7478 3247 64796 16149 1569 0 0 275 228 26 4467 3445 296 23 11834 3204 2015 2014-01-01 2014-12-31 2 5 0 0 0 "NO" "P. O. BOX 668" "MAGNOLIA" 71754 8702341991 "COLUMBIA" 23933 "CO" "MO" "Y" "N" 1980740 3 3354.27 2321390.2959 2948165.675793 59.5393695821292 0.000282092497699257 831.655419115666
"AR" "AR0020" "AR020-002" "BARTON LIBRARY" 42 45629 "200 EAST 5TH STREET
EL DORADO, AR 71730
(33.221953, -92.662178)" "200 EAST 5TH STREET
EL DORADO, AR 71730
" 33.221953 -92.662178 42571 1 5 0 2 2 7 9 440790 65645 0 53345 559780 260093 79956 340049 29404 11456 1912 42772 137496 520317 5000 0 0 2303 7303 7303 57975 0 1654 0 1213 0 4 52 56 102 8742 70412 1719 18036 50635 13179 0 175 52 325 101 7 5049 2810 31 14 22604 822 2015 2014-01-01 2014-12-31 2 5 0 0 0 "NO" "200 E. 5TH ST." "EL DORADO" 71730 8708635447 "UNION" 40227 "CO" "MO" "Y" "N" 792902 3 5456.61 934079.5737 1186281.058599 76.3100501197914 0.000171726185194716 203.715520761956
"AR" "AR0028" "AR028-002" "TEXARKANA PUBLIC LIBRARY" 23 61230 "600 WEST THIRD ST.
TEXARKANA, AR 75501
(33.424873, -94.038071)" "600 WEST THIRD ST.
TEXARKANA, AR 75501
" 33.424873 -94.038071 57126 1 0 0 3 3 7 10 284976 79551 0 432550 797077 311536 136921 448457 65266 16746 14990 97002 190443 735902 0 0 0 0 0 806 84147 108 3630 1640 6771 0 57 52 109 59 3252 359776 9620 39800 144012 27189 283 1612 1829 285 234 18 2717 2362 102 21 11729 2234 2015 2014-01-01 2014-12-31 1 5 0 0 0 "NO" "600 W. 3RD ST." "TEXARKANA" 75501 9037942149 "BOWIE" 43428 "CI" "SO" "Y" "N" 1230836 2.25 5633.025 1446668.75925 1837269.3242475 67.5670635615998 0.000219043267801592 402.441476614794
"AR" "AR0061" "AR0061-001" "LAFAYETTE COUNTY LIBRARY" 42 8027 "219 E. THIRD STREET
LEWISVILLE, AR 71845
(33.357223, -93.575563)" "219 E. THIRD STREET
LEWISVILLE, AR 71845
" 33.357223 -93.575563 7489 1 1 0 0 2 3 5 82505 9182 0 0 91687 55083 11460 66543 16449 0 0 16449 31437 114429 0 0 0 0 0 3764 17404 35793 100 0 0 0 0 52 52 60 3224 9256 18840 508 15436 3759 -1 205 197 4 3 0 28 21 0 12 8808 -1 2015 2014-01-01 2014-12-31 4 5 0 0 0 "NO" "219 EAST THIRD ST." "LEWISVILLE" 71845 8709214757 "LAFAYETTE" 7111 "CO" "MO" "Y" "N" 228872 7 2435.67 270629.9739 343700.066853 59.3576101748674 0.000283822738074485 97.5498940506018
"AR" "AR0063" "AR0063" "PUBLIC LIBRARY OF CAMDEN & OUACHITA COUNTY" 43 28790 "239 GARDEN OAKS DRIVE
CAMDEN, AR 71701
(33.582323, -92.846862)" "239 GARDEN OAKS DRIVE
CAMDEN, AR 71701
" 33.582323 -92.846862 26861 1 2 0 0 1 2 3 137708 40972 0 26430 205110 101109 16665 117774 20000 0 2500 22500 24480 164754 0 0 0 0 0 0 10958 0 667 0 0 0 0 52 52 31 3398 15707 4414 17150 23802 4600 0 0 24 6 6 0 660 660 0 10 7944 0 2015 2014-01-01 2014-12-31 1 5 0 0 0 "NO" "239 GARDEN OAKS DRIVE" "CAMDEN" 71701 8708365083 "OUACHITA" 24828 "CO" "MO" "Y" "N" 151978 3 3041.1 181372.347 230342.88069 88.2800760961283 0.000128314165049837 29.5562544109116
"AR" "AR0064" "AR0064" "CALHOUN COUNTY LIBRARY" 43 5559 "109 SOUTH 2ND ST.
HAMPTON, AR 71744
(33.537781, -92.471776)" "109 SOUTH 2ND ST.
HAMPTON, AR 71744
" 33.537781 -92.471776 5186 1 1 0 0 1 2 3 133815 8909 0 8573 151297 20836 4354 25190 12442 0 2818 15260 33292 73742 4000 0 0 0 4000 1695 18339 20801 701 6891 1155 883 0 52 52 25 4139 21718 3974 3870 27140 6609 -1 324 311 83 57 8 1806 1366 87 4 2170 0 2015 2014-01-01 2014-12-31 4 5 0 0 0 "NO" "P.O. BOX 1162" "HAMPTON" 71744 8707984492 "CALHOUN" 5202 "CO" "MO" "Y" "N" 263040 7 1617.39 309649.1463 393254.415801 99.304449050654 0.000101405751413053 39.8782595308016
"AR" "AR0076" "AR0081" "HEMPSTEAD COUNTY LIBRARY" 32 22000 "500 S. ELM STREET
HOPE, AR 71801
(33.664986, -93.592123)" "500 S. ELM STREET
HOPE, AR 71801
" 33.664986 -93.592123 20526 1 0 0 1 1 2 3 481467 54618 0 0 536085 109513 38111 147624 29643 5558 3500 38701 44682 231007 0 0 0 0 0 0 42715 819 618 68 346 0 0 52 52 29 1975 25402 5142 7481 38296 4377 2811 0 0 20 11 0 420 408 0 5 4140 0 2015 2014-01-01 2014-12-31 1 5 0 0 0 "HQ" "500 SOUTH ELM" "HOPE" 71801 8707774564 "HEMPSTEAD" 22327 "CO" "SO" "Y" "N" 568429 4.5 3420 669063.33 849710.4291 80.5455312516329 0.00015414061923308 130.97489171028
"LA" "LA0002" "FSCS4020" "GRANT PARISH" 42 22384 "300 MAIN STREET
COLFAX, LA 71417
(31.517218, -92.711742)" "300 MAIN STREET
COLFAX, LA 71417
