"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"TX" "TX0097" "187" "HONDO PUBLIC LIBRARY" 32 9002 "1011 19TH ST
HONDO, TX 78861
(29.347692, -99.139593)" "1011 19TH ST
HONDO, TX 78861
" 29.347692 -99.139593 9002 1 0 0 0 0.73 3.45 4.18 222691 0 0 1579 224270 110809 35087 145896 12170 2123 0 14293 62502 222691 0 0 0 0 0 0 23590 4334 521 0 716 0 1 51 52 15 2418 49991 3824 7681 28988 7150 1671 10 456 41 34 4 2458 2382 48 18 34605 4244 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "1011 19TH ST" "HONDO" 78861 8304265333 "MEDINA" 47894 "CI" "SO" "Y" "N" 323756 7 2517.42 381739.9014 484809.674778 41.8334235836209 0.000571417035750708 277.02850726491
"TX" "TX0015" "111" "DRISCOLL PUBLIC LIBRARY" 32 4543 "202 E HONDO AVE
DEVINE, TX 78016
(29.13969, -98.904766)" "202 E HONDO AVE
DEVINE, TX 78016
" 29.13969 -98.904766 4543 1 0 0 0 0.85 1.23 2.08 84080 0 0 3640 87720 45154 7790 52944 5234 1500 1320 8054 27656 88654 0 0 0 50000 50000 0 18482 4549 428 1071 1567 163 0 51 51 25 1602 23582 195 1795 15532 5326 541 53 59 96 91 0 2817 2776 0 10 6468 0 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "303 S TEEL DR" "DEVINE" 78016 8306632993 "MEDINA" 47894 "CI" "SO" "Y" "N" 266976 10 1674.9 314321.553 399188.37231 31.0259073041935 0.00103884563368226 414.695097590972
"TX" "TX0045" "139" "SAM FORE JR WILSON COUNTY PUBLIC LIBRARY" 32 45418 "1 LIBRARY LN
FLORESVILLE, TX 78114
(29.130587, -98.157763)" "1 LIBRARY LN
FLORESVILLE, TX 78114
