"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"GA" "GA0008" "GA0008" "LIVE OAK PUBLIC LIBRARIES" 12 406815 "2002 BULL STREET
SAVANNAH, GA 31401
(32.057809, -81.100009)" "2002 BULL STREET
SAVANNAH, GA 31401
" 32.057809 -81.100009 406790 1 17 1 30 30 124 154 8009088 895908 0 319886 9224882 4573162 2053206 6626368 638137 0 0 638137 1691438 8955943 0 0 0 0 0 260473 418732 7128 33384 10227 51323 9.809442 11 165 176 948 34727 1426481 598561 63711 1772063 678354 24809 867 901 2657 1938 0 65595 58149 0 403 575544 106672 2015 2013-07-01 2014-06-30 2 5 0 14 0 "NO" "2002 BULL STREET" "SAVANNAH" 31401 9126523600 "CHATHAM" 283379 "MJ" "MO" "Y" "N" 6575166 2.25 50560.0125 7752099.434625 9845166.28197375 83.4560506695267 0.000143576823874213 1413.53770527929
"GA" "GA0041" "GA0041" "SCREVEN-JENKINS REGIONAL LIBRARY SYSTEM" 33 23186 "106 S. COMMUNITY DR
SYLVANIA, GA 30467
(32.748534, -81.642451)" "106 S. COMMUNITY DR
SYLVANIA, GA 30467
" 32.748534 -81.642451 23185 1 1 1 2 2 5.09 7.09 415338 218718 0 126795 760851 295021 129177 424198 10076 0 5474 15550 194308 634056 0 0 0 0 0 0 80115 6291 1658 4929 4475 2 0 165 165 86 4228 117024 1312 10916 62269 22950 761 4236 2578 289 268 14 5728 5507 109 40 31737 1075 2015 2013-07-01 2014-06-30 1 5 0 0 15 "NO" "106 SOUTH COMMUNITY DRIVE" "SYLVANIA" 30467 9125647526 "SCREVEN" 14085 "MJ" "MO" "Y" "N" 1124142 4.5 4193.61 1320152.6637 1676593.882899 92.0117128885431 0.000118117370109465 198.034860189646
"SC" "SC0003" "AHJ" "ALLENDALE HAMPTON JASPER REGIONAL LIBRARY" 32 56286 "297 MAIN STREET NORTH
ALLENDALE, SC 29810
(33.009419, -81.307225)" "297 MAIN STREET NORTH
ALLENDALE, SC 29810
" 33.009419 -81.307225 56286 1 4 1 1 1 18.5 19.5 376700 225000 3000 0 604700 321778 130012 451790 37750 5000 11050 53800 0 505590 0 0 0 0 0 3750 91376 173 2945 0 3034 0 0 49 49 451 10222 65707 12858 27206 53232 23914 23 0 0 57 12 2 3369 2614 7 83 43015 -1 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "P.O. BOX 280" "ALLENDALE" 29810 8035843513 "ALLENDALE" 9695 "MJ" "MO" "Y" "N" 1275213 2.25 6724.305 1499866.64685 1904830.6414995 72.3092607538449 0.000191254717730941 364.307846665233
"SC" "SC0005" "BEAUFORT" "BEAUFORT COUNTY LIBRARY" 13 162233 "311 SCOTT STREET
BEAUFORT, SC 29902
(32.432218, -80.67086)" "311 SCOTT STREET
BEAUFORT, SC 29902
" 32.432218 -80.67086 162233 1 4 0 28 30 44.38 74.38 4200499 202791 26596 125052 4554938 2271137 878189 3149326 159178 46742 80786 286706 631709 4067741 63700 0 0 0 63700 324679 290309 9527 17465 4561 30816 0 3 49 52 436 11270 462534 58464 114818 766242 305167 22436 489 556 2715 762 105 24820 15336 1447 197 57249 52131 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "311 SCOTT STREET" "BEAUFORT" 29902 8432556430 "BEAUFORT" 175852 "CO" "MO" "Y" "N" 4416203 2.25 22107.7275 5192823.551175 6594885.90999225 47.4179355845618 0.000444748728656201 2933.06712410175
"SC" "SC0006" "BERKELEY" "BERKELEY COUNTY LIBRARY SYSTEM" 21 177843 "100 LIBRARY ST.
MONCKS CORNER, SC 29461
(33.194792, -80.009137)" "100 LIBRARY ST.
MONCKS CORNER, SC 29461
" 33.194792 -80.009137 177843 1 5 1 12 12 45 57 2930436 237698 3000 0 3171134 1567179 615714 2182893 264452 28663 32615 325730 359822 2868445 0 0 0 0 0 7481 230195 13285 9629 1961 18660 0 4 49 53 370 17912 475929 93295 104135 741692 376083 35296 33 188 570 283 83 13610 10046 700 128 82401 19360 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "P.O. BOX 1239" "MONCKS CORNER" 29461 8437194243 "BERKELEY" 198205 "CO" "MA" "Y" "N" 3370862 2.25 20554.4025 3967957.190925 5039305.63247475 21.0938434580398 0.0022474423619964 11325.5489534708
"SC" "SC0007" "CALHOUN" "CALHOUN COUNTY LIBRARY SYSTEM" 42 15175 "900 F.R. HUFF DRIVE
ST. MATTHEWS, SC 29135
(33.663446, -80.778288)" "900 F.R. HUFF DRIVE
ST. MATTHEWS, SC 29135
" 33.663446 -80.778288 15175 1 0 1 1 2.88 8.18 11.06 493264 75000 16070 13535 597869 280988 120607 401595 29480 17319 5962 52761 88423 542779 0 0 0 0 0 20668 37777 12926 1283 1622 2230 0 1 49 50 101 2825 60533 6501 7482 55784 21578 1679 4244 4189 292 185 52 8340 4746 712 33 15650 0 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "900 F.R. HUFF DRIVE" "ST. MATTHEWS" 29135 8038743389 "CALHOUN" 14878 "CO" "MO" "Y" "N" 539568 4.5 3707.625 635632.48125 807253.2511875 67.1916739562046 0.000221497627237307 178.804679717633
"SC" "SC0008" "SC0008" "CHAPIN MEMORIAL LIBRARY" 13 27109 "400 14TH AVE. N.
MYRTLE BEACH, SC 29577
(33.697153, -78.87746)" "400 14TH AVE. N.
MYRTLE BEACH, SC 29577
" 33.697153 -78.87746 27109 1 0 0 2 2 9 11 1154460 0 1000 73000 1228460 560734 203874 764608 87888 48861 29449 166198 125270 1056076 0 0 0 0 0 0 123644 1601 4749 6617 8054 26 11 49 60 112 2262 103986 3862 17380 178800 70826 25069 246 146 428 242 17 7184 5147 294 49 36574 10832 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "400 14TH AVE. N." "MYRTLE BEACH" 29577 8439181275 "HORRY" 298832 "CI" "SO" "Y" "N" 1777472 3 4089.81 2084427.3177 2647222.693479 88.505220394897 0.000127662170565526 337.950195019846
"SC" "SC0009" "CHARLESTON" "CHARLESTON COUNTY PUBLIC LIBRARY SYSTEM" 12 350209 "68 CALHOUN STREET
CHARLESTON, SC 29401
(32.788162, -79.930928)" "68 CALHOUN STREET
CHARLESTON, SC 29401
" 32.788162 -79.930928 350209 1 15 1 64.75 66.75 154.25 221 14536176 437761 15751 671544 15661232 7634912 3047963 10682875 1447027 418660 493351 2359038 2876787 15918700 0 0 0 0 0 42413 925340 10373 37329 3678 150581 0 43 49 92 1205 40494 1834352 615009 262871 3301695 1016151 349823 2987 3392 6414 4002 882 209965 144517 35661 337 617562 241854 2015 2013-07-01 2014-06-30 1 5 0 0 0 "HQ" "68 CALHOUN STREET" "CHARLESTON" 29401 8438056801 "CHARLESTON" 381015 "CO" "MO" "Y" "N" 14503080 2.25 56789.1075 17035046.855775 21634509.5068342 10.8673853549884 0.00846739588690961 183187.956813475
"SC" "SC0013" "CLARENDON" "CLARENDON COUNTY LIBRARY SYSTEM" 32 34971 "215 N. BROOKS ST.
MANNING, SC 29102
(33.699525, -80.210583)" "215 N. BROOKS ST.
MANNING, SC 29102
" 33.699525 -80.210583 34971 1 0 1 1.5 11 0.5 11.5 558500 75000 1866 0 635366 308262 89201 397463 47699 27408 26099 101206 136697 635366 0 0 0 10606 10606 10606 46291 1046 1029 5267 4678 0 4 49 53 52 3203 58793 16260 12926 54101 19688 2681 2 0 112 95 0 6455 5711 0 27 25962 -1 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "215 N. BROOKS ST." "MANNING" 29102 8034358633 "CLARENDON" 34113 "CO" "MO" "Y" "N" 677865 3 4872.39 798802.7463 1014479.487801 56.3167340738921 0.000315300803563927 319.866197702776
"SC" "SC0014" "COLLETON" "COLLETON COUNTY MEMORIAL LIBRARY" 32 38892 "600 HAMPTON STREET
WALTERBORO, SC 29488
(32.901621, -80.656694)" "600 HAMPTON STREET
WALTERBORO, SC 29488
" 32.901621 -80.656694 38892 1 1 1 3 8 1 9 724241 75000 1000 27544 827785 378239 135012 513251 72384 10288 19525 102197 207103 822551 0 0 0 0 0 0 123951 13727 925 1739 3822 0 2 49 51 124 5075 123090 5600 14511 120186 39637 2917 16 122 328 224 42 6502 5422 828 25 42982 0 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "600 HAMPTON STREET" "WALTERBORO" 29488 8435495621 "COLLETON" 37771 "CO" "MO" "Y" "N" 1675811 3 4850.28 1966373.6976 2497294.595952 34.1322208570852 0.000858362835510093 2143.58487048539
"SC" "SC0015" "DARLINGTON" "DARLINGTON COUNTY LIBRARY SYSTEM" 42 68681 "204 N. MAIN STREET
DARLINGTON, SC 29532
(34.305655, -79.873202)" "204 N. MAIN STREET
DARLINGTON, SC 29532
" 34.305655 -79.873202 68681 1 3 0 4 13.19 13.56 26.75 1173298 85851 14408 41337 1314894 649133 201028 850161 82185 3000 32782 117967 401284 1369412 0 0 0 0 0 0 232111 2036 5198 1324 11177 0 1 49 50 320 11024 263080 23353 41715 289501 98569 3656 2684 1254 1637 1025 42 23940 20577 780 61 87263 17452 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "204 N. MAIN STREET" "DARLINGTON" 29532 8433984940 "DARLINGTON" 67799 "CO" "MO" "Y" "N" 3237223 2.25 8648.4675 3797669.616975 4823040.41355825 98.2975044027862 0.000103493962681453 499.155564571939
"SC" "SC0017" "DORCHESTER" "DORCHESTER COUNTY LIBRARY SYSTEM" 42 136555 "506 N. PARLER AVENUE
ST. GEORGE, SC 29477
(33.188299, -80.571704)" "506 N. PARLER AVENUE
ST. GEORGE, SC 29477
" 33.188299 -80.571704 136555 1 1 1 9 10 29 39 2655258 170694 815 160102 2986869 1356261 392832 1749093 312166 91739 92739 496644 517612 2763349 0 0 0 0 0 25501 186710 17215 9929 8155 19389 0 20 49 69 249 6690 385257 30068 27688 654170 261177 32416 31326 25497 675 402 46 10189 8172 614 96 91110 43092 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "506 N. PARLER AVENUE" "ST. GEORGE" 29477 8435639189 "DORCHESTER" 148469 "CO" "MO" "Y" "N" 2815921 2.25 15067.4625 3312256.501125 4206565.75642875 35.5496564191726 0.000791278170222002 3328.56365466547
"SC" "SC0019" "FLORENCE" "FLORENCE COUNTY LIBRARY SYSTEM" 42 136885 "509 SOUTH DARGAN STREET
FLORENCE, SC 29506
(34.188838, -79.765337)" "509 SOUTH DARGAN STREET
FLORENCE, SC 29506
" 34.188838 -79.765337 136885 1 5 1 21 21 27 48 3605622 171106 1743 0 3778471 1987443 682178 2669621 136166 10525 6485 153176 861683 3684480 0 0 0 0 0 0 336479 13038 15019 1814 9603 0 4 49 53 82 15373 544045 39701 101157 326046 148865 18185 43 327 854 444 77 18912 14239 1076 202 175504 -1 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "509 SOUTH DARGAN STREET" "FLORENCE" 29506 8436628424 "FLORENCE" 139231 "CO" "MO" "Y" "N" 4704469 2.25 16439.7375 5523463.222875 7014798.29305125 91.2628076473064 0.000120063873120806 842.223852224949
"SC" "SC0020" "GEORGETOWN" "GEORGETOWN COUNTY LIBRARY" 32 60158 "405 CLELAND STREET
GEORGETOWN, SC 29440
(33.373314, -79.285044)" "405 CLELAND STREET
GEORGETOWN, SC 29440
" 33.373314 -79.285044 60158 1 3 1 6 20 11 31 1295557 75370 50038 89850 1510815 955143 165604 1120747 80259 0 13460 93719 358129 1572595 3177106 0 0 0 3177106 650304 172882 2401 8617 1328 13012 0 1 49 50 147 11374 191700 24041 42753 151161 49759 8738 1100 1488 722 550 69 14290 11186 743 99 69184 8547 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "405 CLELAND STREET" "GEORGETOWN" 29440 8435453304 "GEORGETOWN" 60773 "CO" "MO" "Y" "N" 2535009 2.25 8710.665 2976152.00805 3779713.0502235 56.2302296671213 0.000316271665285279 1195.41614069469
"SC" "SC0022" "HORRY" "HORRY COUNTY MEMORIAL LIBRARY" 22 269291 "1008 5TH AVENUE
CONWAY, SC 29526
(33.837094, -79.048436)" "1008 5TH AVENUE
CONWAY, SC 29526
" 33.837094 -79.048436 269291 1 9 1 15 15 41 56 3702646 336614 0 0 4039260 1789824 1013466 2803290 361934 133413 114864 610211 625758 4039259 0 0 0 0 0 224300 339362 4785 28803 175113 15388 13159 7 49 56 659 21008 733530 102489 124078 1015333 331518 38811 3956 2796 3604 1062 294 50064 29069 3941 188 185884 -1 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "1008 5TH AVENUE" "CONWAY" 29526 8439155285 "HORRY" 298832 "CO" "MA" "Y" "N" 5003216 2.25 26577.1425 5884857.976725 7473769.63044075 87.9340997359873 0.000129325854514226 966.551643899224
"SC" "SC0023" "KERSHAW" "KERSHAW COUNTY LIBRARY SYSTEM" 31 61697 "1304 BROAD STREET
CAMDEN, SC 29020
(34.249947, -80.607458)" "1304 BROAD STREET
CAMDEN, SC 29020
