"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"AL" "AL0007" "100-006" "JASPER PUBLIC LIBRARY" 32 14235 "98 EAST 18TH STREET
JASPER, AL 35501
(33.833395, -87.273908)" "98 EAST 18TH STREET
JASPER, AL 35501
" 33.833395 -87.273908 14235 1 0 0 1 4.7 0 4.7 184183 0 10000 600 194783 79082 15820 94902 25392 0 2426 27818 72063 194783 0 0 0 0 0 0 60375 19749 445 4884 1655 25 0 57 57 29 2080 49367 19128 15715 96763 25582 8950 26 18 53 6 0 1179 587 0 17 13803 2186 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "98 18TH STREET EAST" "JASPER" 35501 2052218512 "WALKER" 65471 "CI" "SO" "Y" "N" 813317 4.5 2626.725 954654.15825 1212410.7809775 68.2085741286802 0.000214942382393754 260.598461703175
"AL" "AL0001" "100-000" "CARL ELLIOTT REGIONAL LIBRARY SYSTEM" 32 66099 "98 18TH STREET EAST
JASPER, AL 35501
(33.833395, -87.273908)" "98 18TH STREET EAST
JASPER, AL 35501
" 33.833395 -87.273908 66099 1 0 0 1 3.5 0 3.5 99651 86706 0 59934 246291 106857 22692 129549 14512 6000 0 20512 96644 246705 0 0 0 0 0 0 0 19749 0 4884 0 25 0 57 57 0 2340 209399 32112 0 0 0 0 22 26 0 0 0 0 0 0 4 3530 -1 2015 2013-10-01 2014-09-30 2 5 0 0 0 "HQ" "98 18TH STREET EAST" "JASPER" 35501 2052212568 "WALKER" 65471 "MJ" "SO" "N" "N" 180 2.25 4986.6825 6045.018525 7677.17352675 68.2085741286802 0.000214942382393754 1.6501499678899
"AL" "AL0002" "100-001" "ARLEY PUBLIC LIBRARY" 42 354 "6788 COUNTY ROAD 41
ARLEY, AL 35541
(34.050051, -87.223437)" "6788 COUNTY ROAD 41
ARLEY, AL 35541
" 34.050051 -87.223437 354 1 0 0 0 1 0 1 36750 0 7000 2441 46191 NA NA NA 4620 4375 0 8995 NA 46191 0 0 0 0 0 0 9429 19749 272 4884 148 25 0 57 57 8 1820 5880 333 1853 13815 1060 8950 0 58 55 5 0 1246 175 0 5 1429 1036 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "P.O. BOX 146" "ARLEY" 35541 2053870129 "WINSTON" 24150 "CI" "SO" "Y" "N" 128366 22.5 388.95 150643.2915 191316.980205 75.3063163471858 0.000176334459636608 33.7357763237563
"AL" "AL0005" "100-004" "DOUBLE SPRINGS PUBLIC LIBRARY" 43 1068 "637 BLAKE DRIVE
DOUBLE SPRINGS, AL 35553
(34.146999, -87.3834)" "637 BLAKE DRIVE
DOUBLE SPRINGS, AL 35553
" 34.146999 -87.3834 1068 1 0 0 0 1 0.5 1.5 39119 0 7000 1750 47869 NA NA NA 4576 4375 0 8951 NA 47869 691 0 0 0 691 691 11092 19749 5 4884 6 25 0 57 57 0 2210 5580 2470 1825 17337 2476 8950 0 2 12 7 0 865 419 0 5 1971 575 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "P.O. BOX 555" "DOUBLE SPRINGS" 35553 2054892412 "WINSTON" 24150 "CI" "SO" "Y" "N" 144564 14.25 681.57 169937.3169 215820.392463 70.0053865792916 0.000204050227652476 44.0382002141219
