"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"NM" "NM0010" "NM0010-002" "CLOVIS CARVER PUBLIC LIBRARY" 33 37775 "701 MAIN
CLOVIS, NM 88101
(34.405289, -103.205369)" "701 MAIN
CLOVIS, NM 88101
" 34.405289 -103.205369 37225 1 0 0 1 4 10.6 14.6 809735 12797 0 60722 883254 366801 203177 569978 69635 14554 3965 88154 224226 882358 121310 0 0 0 121310 121310 124125 3529 2801 155 3047 0 4 45 49 113 3204 145119 4086 10252 131379 62128 4043 673 403 232 190 5 9563 8546 28 10 21384 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "701 MAIN" "CLOVIS" 88101 5757697840 "CURRY" 50969 "CI" "SO" "Y" "N" 1691568 3 5589.75 1985674.5675 2521806.700725 6.53465959678442 0.0234182296990727 59056.2485742388
"NM" "NM0015" "NM0015-002" "FORT SUMNER PUBLIC LIBRARY" 43 2022 "235 W. SUMNER AVENUE
FORT SUMNER, NM 88119
(34.473309, -104.250238)" "235 W. SUMNER AVENUE
FORT SUMNER, NM 88119
" 34.473309 -104.250238 1993 1 0 0 0 2 0 2 109124 11167 0 0 120291 NA NA NA 4965 7113 560 12638 NA 97611 0 0 0 0 0 0 19443 110 474 0 866 0 4 45 49 17 1743 5955 181 1567 4889 2432 114 0 46 25 15 9 569 356 192 6 2266 135 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "P.O. DRAWER D" "FORT SUMNER" 88119 5753552832 "DE BACA" 1825 "CI" "SO" "Y" "N" 270670 14.25 1164.405 318046.25385 403918.7423895 53.4836697644052 0.000349588874389589 141.205498496804
"NM" "NM0027" "NM0027-002" "LOVINGTON PUBLIC LIBRARY" 33 11009 "115 SOUTH MAIN ST.
LOVINGTON, NM 88260
(32.947916, -103.348604)" "115 SOUTH MAIN ST.
LOVINGTON, NM 88260
" 32.947916 -103.348604 10849 1 0 0 0 5 1 6 309772 9741 0 18661 338174 161630 11767 173397 37543 11398 4320 53261 56490 283148 55025 0 0 0 55025 55025 40090 331 1939 22 1044 0 8 45 53 41 2210 31304 3848 8182 18615 9565 0 158 179 85 75 0 2870 2738 0 21 10102 5000 2015 2013-07-01 2014-06-30 1 6 0 0 0 "ME" "115 SOUTH MAIN ST." "LOVINGTON" 88260 5053963144 "LEA" 69999 "CI" "SO" "Y" "N" 561427 4.5 2386.215 659661.46155 837770.0561685 99.7540516697518 0.000100493717347304 84.190627226632
"NM" "NM0028" "NM0028-002" "PORTALES PUBLIC LIBRARY" 33 12280 "218 S. AVE. B
PORTALES, NM 88130
(34.184438, -103.338143)" "218 S. AVE. B
PORTALES, NM 88130
" 34.184438 -103.338143 12101 1 0 0 0 4 3 7 374208 11947 0 2500 388655 216430 92698 309128 29425 7505 8342 45272 34255 388655 0 0 0 0 0 0 49680 6253 2057 595 1110 0 73 45 118 70 2548 75000 8708 10757 97900 31681 3831 0 114 244 142 88 4364 3983 185 34 32240 -1 2015 2013-07-01 2014-06-30 2 6 0 0 0 "NO" "218 S. AVE. B" "PORTALES" 88130 5753563940 "ROOSEVELT" 19536 "CI" "SO" "Y" "N" 689451 4.5 2707.8 809825.796 1028478.76092 14.2496364357907 0.00492484347680416 5065.09691674849
"NM" "NM0031" "NM0031-002" "ROSWELL PUBLIC LIBRARY" 33 48366 "301 N. PENNSYLVANIA AVE
ROSWELL, NM 88201
(33.395417, -104.526015)" "301 N. PENNSYLVANIA AVE
ROSWELL, NM 88201
" 33.395417 -104.526015 47662 1 0 0 4 7.5 15 22.5 1525702 21448 0 0 1547150 711573 260014 971587 119208 77049 24921 221178 343454 1536219 229830 0 0 0 229830 1390 159012 5096 8185 388 2262 0 14 45 59 130 3239 231266 12779 20018 263647 104436 14322 168 262 200 158 6 6622 6247 102 26 38228 -1 2015 2013-07-01 2014-06-30 2 6 0 0 0 "NO" "301 N. PENNSYLVANIA AVE" "ROSWELL" 88201 5756227101 "CHAVES" 65878 "CI" "SO" "Y" "N" 2205827 3 7727.94 2589859.2798 3289121.285346 97.6717870319408 0.000104824242438922 344.779647026128
"NM" "NM0034" "NM0034-002" "MOISE MEMORIAL LIBRARY" 33 2848 "208 5TH ST.
SANTA ROSA, NM 88435
(34.94156, -104.685498)" "208 5TH ST.
SANTA ROSA, NM 88435
" 34.94156 -104.685498 2807 1 0 0 0 2 0.6 2.6 123445 7235 0 12918 143598 51576 23269 74845 9279 0 3446 12725 21899 109469 0 0 0 0 0 0 18917 0 816 0 1214 0 0 45 45 20 1024 9409 1523 2072 6309 2386 0 0 27 20 19 0 689 649 0 7 5525 1460 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "208 5TH ST." "SANTA ROSA" 88435 5754723101 "GUADALUPE" 4468 "CI" "SO" "Y" "N" 272886 10 1244.4 320732.568 407330.36136 86.643749261301 0.000133206533393824 54.2590653828193
"NM" "NM0040" "NM0040-002" "TUCUMCARI PUBLIC LIBRARY" 33 9041 "602 S. SECOND ST.
TUCUMCARI, NM 88401
(35.173734, -103.726125)" "602 S. SECOND ST.
TUCUMCARI, NM 88401
" 35.173734 -103.726125 8909 1 0 0 0 1 2 3 247748 17525 0 0 265273 82368 45357 127725 15000 5300 1500 21800 107211 256736 0 0 0 0 0 0 26726 3000 1771 1500 1580 0 0 45 45 31 2278 93426 1245 3732 32612 11290 145 25 74 84 84 0 2336 2336 0 12 11842 621 2015 2013-07-01 2014-06-30 1 6 0 0 0 "ME" "602 S. SECOND ST." "TUCUMCARI" 88401 5754610295 "QUAY" 8501 "CI" "SO" "Y" "N" 391944 7 2348.61 461322.3537 585879.389199 58.9707869084244 0.000287558463159705 168.474576755011
"NM" "NM0065" "NM0065-002" "TATUM COMMUNITY LIBRARY" 43 798 "323 E. BROADWAY
TATUM, NM 88267
(33.256932, -103.314202)" "323 E. BROADWAY
TATUM, NM 88267
" 33.256932 -103.314202 786 1 0 0 0 1 0.5 1.5 52579 2819 0 1354 56752 NA NA NA 3258 0 173 3431 NA 56940 0 0 0 0 0 0 14915 0 572 0 385 0 0 45 45 5 1675 3356 24 175 851 321 0 0 59 54 6 1 207 10 19 6 1325 46 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "P.O. BOX 156" "TATUM" 88267 5753984822 "LEA" 69999 "CI" "SO" "Y" "N" 206671 22.5 763.65 242698.5405 308227.146435 78.3634885800994 0.000162844268147702 50.1930240844621
"TX" "TX0148" "234" "LAMB COUNTY LIBRARY" 32 8326 "110 E 6TH ST
LITTLEFIELD, TX 79339
(33.920682, -102.332459)" "110 E 6TH ST
LITTLEFIELD, TX 79339
" 33.920682 -102.332459 8326 1 0 0 0 1.63 0.75 2.38 135802 0 0 0 135802 69113 30400 99513 12442 1700 9500 23642 1720 124875 0 0 0 0 0 0 14800 0 856 0 1000 0 2 51 53 44 2030 67855 48141 6230 24766 954 0 30 437 52 52 0 1524 654 0 18 34197 520 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "110 E 6TH ST" "LITTLEFIELD" 79339 8063855223 "LAMB" 13574 "CO" "SO" "Y" "N" 217910 7 2105.46 257418.0882 326920.972014 65.0958018380472 0.000235990237934025 77.1501579712067
"TX" "TX0018" "114" "RHOADS MEMORIAL LIBRARY" 33 8030 "103 SW 2ND ST
DIMMITT, TX 79027
(34.550898, -102.313783)" "103 SW 2ND ST
DIMMITT, TX 79027
" 34.550898 -102.313783 8030 1 0 0 0 0.88 1.12 2 92563 0 0 6254 98817 NA NA NA 7421 3340 0 10761 NA 98817 0 0 0 0 0 0 18001 2142 4387 749 241 24 15 51 66 34 1935 17637 2133 1742 99691 93109 90099 53 45 19 12 5 300 249 36 8 5616 1205 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "103 SW 2ND ST" "DIMMITT" 79027 8066473532 "CASTRO" 7781 "CO" "SO" "Y" "N" 294979 7 1986.3 347449.401 441260.73927 58.3593961661377 0.00029361512297304 129.560826223936
"TX" "TX0054" "147" "FRIONA PUBLIC LIBRARY" 33 3994 "109 W 7TH ST
FRIONA, TX 79035
(34.63743, -102.718647)" "109 W 7TH ST
FRIONA, TX 79035
" 34.63743 -102.718647 3994 1 0 0 0 3 0.5 3.5 174156 0 0 0 174156 82500 29376 111876 19222 800 2574 22596 39684 174156 72110 0 0 0 72110 72110 33728 3348 2934 803 2344 23 18 51 69 60 2148 17433 119 3705 29306 7925 270 161 99 38 36 0 1668 1583 0 14 2749 0 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "109 W 7TH ST" "FRIONA" 79035 8062503200 "PARMER" 9908 "CI" "SO" "Y" "N" 508488 10 1723.2 596947.104 758122.82208 38.2318867445825 0.000684145599722451 518.666392775199
"TX" "TX0080" "171" "HALE CENTER PUBLIC LIBRARY INC" 42 3014 "609 MAIN ST
HALE CENTER, TX 79041
(34.063683, -101.845308)" "609 MAIN ST
HALE CENTER, TX 79041
" 34.063683 -101.845308 3014 1 0 0 0 0.57 0 0.57 7700 0 0 11013 18713 NA NA NA 773 0 0 773 NA 19551 0 0 0 0 0 12750 18364 0 333 0 1259 0 1 51 52 25 1150 6731 265 1049 6790 424 0 0 0 30 6 0 426 135 0 5 1049 0 2015 2014-01-01 2014-12-31 1 6 0 0 0 "NO" "PO BOX 214" "HALE CENTER" 79041 8068392055 "HALE" 34720 "NP" "SO" "Y" "N" 259978 10 989.7 305332.209 387771.90543 87.2129017222836 0.000131473591579782 50.9817651206178
"TX" "TX0093" "183" "DEAF SMITH COUNTY LIBRARY" 32 19177 "211 E 4TH ST
HEREFORD, TX 79045
(34.818227, -102.398779)" "211 E 4TH ST
HEREFORD, TX 79045
" 34.818227 -102.398779 19177 1 0 0 0 1 5.62 6.62 341192 0 0 10040 351232 167655 50976 218631 51931 4800 9607 66338 56224 341193 0 0 0 0 0 0 59066 3348 1869 803 1670 23 18 51 69 103 2602 62759 13102 8320 93292 49583 957 91 495 196 195 0 6770 6170 0 7 7498 6413 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "211 E 4TH ST" "HEREFORD" 79045 8063641206 "DEAF SMITH" 19195 "CO" "SO" "Y" "N" 815519 4.5 3581.895 958348.04715 1217102.0198805 60.160395926614 0.000276298564443182 336.283540873879
"TX" "TX0145" "231" "HOCKLEY COUNTY MEMORIAL LIBRARY" 32 23530 "811 AUSTIN ST
LEVELLAND, TX 79336
(33.586277, -102.376809)" "811 AUSTIN ST
LEVELLAND, TX 79336
" 33.586277 -102.376809 23530 1 1 0 0 1.75 2.9 4.65 241104 0 0 0 241104 128593 62506 191099 18188 4360 0 22548 27458 241105 0 0 0 0 0 0 39166 9034 1067 9378 232 0 5 51 56 11 4265 24475 5001 3430 79584 20505 39209 36 39 51 51 0 1480 1480 0 11 2490 0 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "802 HOUSTON ST STE 108" "LEVELLAND" 79336 8068946750 "HOCKLEY" 23577 "CO" "MO" "Y" "N" 526683 4.5 3874.05 620751.7485 788354.720595 77.4926947626628 0.000166524628330938 131.280476840022
"TX" "TX0186" "271" "COCHRAN COUNTY LOVE MEMORIAL LIBRARY" 43 3016 "318 S MAIN ST
MORTON, TX 79346
(33.722512, -102.75926)" "318 S MAIN ST
MORTON, TX 79346
" 33.722512 -102.75926 3016 1 0 0 0 0.88 0.62 1.5 89268 0 0 4800 94068 NA NA NA 9455 0 340 9795 NA 89268 0 0 0 0 0 0 12758 0 169 0 21 0 1 51 52 8 1736 7000 3385 1368 6131 4119 0 9 14 74 41 33 1429 995 422 8 4267 0 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "318 S MAIN ST" "MORTON" 79346 8062665051 "COCHRAN" 2935 "CO" "SO" "Y" "N" 168788 10 1129.8 198803.826 252480.85902 56.1866400475614 0.00031676258302696 79.976489068041
"TX" "TX0191" "276" "MULESHOE AREA PUBLIC LIBRARY" 33 5123 "322 W 2ND ST
MULESHOE, TX 79347
(34.225005, -102.726537)" "322 W 2ND ST
MULESHOE, TX 79347
" 34.225005 -102.726537 5123 1 0 0 0 1 2 3 169649 0 0 0 169649 89970 37510 127480 20084 800 3035 23919 18250 169649 0 0 0 0 0 0 12802 7745 517 324 633 0 0 51 51 10 2290 26257 13279 2905 65257 7342 1453 19 23 64 38 25 564 463 67 7 427 378 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "322 W 2ND ST" "MULESHOE" 79347 8062724707 "BAILEY" 6910 "CI" "SO" "Y" "N" 181821 7 1525.83 214515.7911 272435.054697 35.6823513925099 0.000785403927187931 213.971561862682
"TX" "TX0225" "309" "YOAKUM COUNTY LIBRARY" 43 3825 "910 AVE E
PLAINS, TX 79355
(33.189061, -102.83043)" "910 AVE E
PLAINS, TX 79355
