"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
"DC" "DC0001" "DCPL" "DISTRICT OF COLUMBIA PUBLIC LIBRARY" 11 658893 "901 G STREET, N.W. (ROOM 400)
WASHINGTON, DC 20001
(38.89841, -77.024209)" "901 G STREET, N.W. " 38.89841 -77.024209 658893 1 25 0 147 147 423 570 53095222 0 912671 180898 54188791 31828080 6851322 38679402 2000732 1340000 495000 3835732 11798205 54313339 12950000 0 0 0 12950000 10353699 1815540 177086 86416 16154 140667 804 74 0 74 2071 65208 4230790 921814 359371 3938767 1464871 715036 0 180 14357 8514 1566 284969 225815 15624 1000 1050623 -1 2015 2013-10-01 2014-09-30 2 2 0 0 0 "NO" "901 G STREET, N.W. (ROOM 400)" "WASHINGTON" 20001 2027271101 "DIST OF COLUMBIA" 658893 "CI" "MO" "Y" "N" 26626022 2.25 129975.2775 31304516.814675 39756736.3546373 84.2037569557317
"DE" "DE0002" "10" "FRANKFORD PUBLIC LIBRARY" 32 7719 "8 MAIN STREET
FRANKFORD, DE 19945
(38.517361, -75.234625)" "8 MAIN STREET
FRANKFORD, DE 19945
" 38.517361 -75.234625 7719 1 0 0 0 1 3.21 4.21 173675 32033 0 9055 214763 104853 14054 118907 10800 1160 3841 15801 51582 186290 0 207419 0 119150 326569 653138 13428 19770 713 2565 1900 0 3 31 34 56 2496 24378 3607 1847 29145 7070 660 10696 11558 180 72 5 2529 1248 57 10 7341 798 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "P.O.BOX 610" "FRANKFORD" 19945 3027329351 "SUSSEX" 210849 "LD" "SO" "Y" "N" 209711 7 2252.49 247997.2833 314956.549791 44.613370966419
"DE" "DE0003" "11" "GEORGETOWN PUBLIC LIBRARY" 31 15885 "123 WEST PINE STREET
GEORGETOWN, DE 19947
(38.687288, -75.387152)" "123 WEST PINE STREET
GEORGETOWN, DE 19947
" 38.687288 -75.387152 15885 1 0 0 0.96 1.83 3.45 5.28 193685 56413 0 14808 264906 148388 21595 169983 14996 6147 4958 26101 81747 277831 0 0 0 18098 18098 36196 27990 19770 985 2565 1154 0 3 31 34 73 2502 72243 565 5604 57978 14633 3175 16362 16568 177 74 8 3021 1483 135 24 14530 4013 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "123 WEST PINE STREET" "GEORGETOWN" 19947 3028567958 "SUSSEX" 210849 "LD" "SO" "Y" "N" 393706 4.5 2936.475 464071.69575 589371.0536025 31.2051997262926
"DE" "DE0005" "13" "HARRINGTON PUBLIC LIBRARY" 31 12346 "110 CENTER STREET
HARRINGTON, DE 19952
(38.928421, -75.575476)" "110 CENTER STREET
HARRINGTON, DE 19952
" 38.928421 -75.575476 12346 1 0 0 0 2 1.45 3.45 134461 36626 0 7286 178373 100675 23181 123856 29335 0 1801 31136 23380 178372 0 0 0 0 0 0 19177 19770 755 2565 1350 0 0 31 31 3 2340 36287 5025 3528 43195 12388 2676 12345 11644 189 90 9 2395 1689 132 8 7257 963 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "110 CENTER STREET" "HARRINGTON" 19952 3023984647 "KENT" 171987 "CI" "SO" "Y" "N" 277065 4.5 2184.21 326721.5757 414936.401139 14.8529132178488
"DE" "DE0009" "17" "LAUREL PUBLIC LIBRARY" 23 15185 "101 E. FOURTH ST
LAUREL, DE 19956
(38.556064, -75.570801)" "101 E. FOURTH ST
LAUREL, DE 19956
" 38.556064 -75.570801 15185 1 0 0 2.45 4.45 3.71 8.16 181668 61105 0 156617 399390 204627 43868 248495 34992 96 3425 38513 101115 388123 0 0 0 0 0 0 52929 19770 1741 2565 3195 0 3 31 34 105 2495 54216 17248 6698 75994 28000 2075 16541 33565 866 145 85 8203 4410 1350 19 9100 3111 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "101 E. FOURTH ST" "LAUREL" 19956 3028743184 "SUSSEX" 210849 "LD" "SO" "Y" "N" 754465 4.5 3273.975 886554.60075 1125924.3429525 40.0782616004981
"DE" "DE0010" "18" "LEWES PUBLIC LIBRARY" 32 17602 "111 ADAMS AVENUE
LEWES, DE 19958
(38.767708, -75.141499)" "111 ADAMS AVENUE
LEWES, DE 19958
" 38.767708 -75.141499 17602 1 0 0 3.15 4.92 2.73 7.65 183775 79468 0 154613 417856 313370 67734 381104 28107 5330 1785 35222 55042 471368 0 951523 0 1001682 1953205 3906410 48680 19770 2243 2565 3568 0 4 31 35 94 2569 149519 1088 11391 197644 47004 14101 42393 31193 766 292 38 13122 8112 308 25 11098 2966 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "111 ADAMS AVENUE" "LEWES" 19958 3026452733 "SUSSEX" 210849 "LD" "SO" "Y" "N" 710730 4.5 3523.77 835676.9109 1061309.676843 31.2824726435603
"DE" "DE0011" "19" "MILFORD PUBLIC LIBRARY" 31 26077 "11 S.E. FRONT STREET
MILFORD, DE 19963
(38.912449, -75.427281)" "11 S.E. FRONT STREET
MILFORD, DE 19963
" 38.912449 -75.427281 26077 1 0 0 0.5 3.38 8 11.38 432542 98204 0 106359 637105 308017 34539 342556 68986 0 0 68986 181708 593250 0 0 0 0 0 0 46997 19770 3080 2565 3930 0 3 31 34 79 3120 203319 9033 12238 157143 38116 8330 31429 35232 300 300 0 4237 4237 0 34 24718 5522 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "11 S.E. FRONT STREET" "MILFORD" 19963 3024228996 "SUSSEX" 210849 "LD" "SO" "Y" "N" 704648 3 4053.93 829181.2581 1053060.197787 15.4988049762079
"DE" "DE0013" "20" "MILLSBORO PUBLIC LIBRARY" 32 17639 "217 WEST STATE STREET
MILLSBORO, DE 19966
(38.593069, -75.29572)" "217 WEST STATE STREET
MILLSBORO, DE 19966
" 38.593069 -75.29572 17639 1 0 0 0 0.88 4.58 5.46 209460 54523 0 17190 281173 124331 12026 136357 51805 0 0 51805 62233 250395 0 0 0 0 0 0 34243 19770 1339 2565 2848 0 3 31 34 86 2392 32351 643 6984 93152 18172 6670 20584 22882 154 142 6 1513 1410 52 8 8157 1294 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "P.O. BOX 458" "MILLSBORO" 19966 3029348743 "SUSSEX" 210849 "LD" "SO" "Y" "N" 501068 4.5 3200.265 589993.87005 749292.2149635 38.652215490713
"DE" "DE0015" "22" "NEW CASTLE PUBLIC LIBRARY" 21 28130 "424 DELAWARE STREET
NEW CASTLE, DE 19720
(39.66111, -75.565671)" "424 DELAWARE STREET
NEW CASTLE, DE 19720
" 39.66111 -75.565671 28130 1 0 0 2.63 4.13 4.3 8.43 359791 134051 0 297998 791840 346018 75003 421021 35189 0 7031 42220 335935 799176 0 9063 0 5446 14509 29018 30067 19770 1775 2565 2918 0 3 31 34 96 2600 101118 10004 8110 109767 31328 3981 31348 29512 521 122 39 4381 2212 135 22 20882 2921 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "424 DELAWARE STREET" "NEW CASTLE" 19720 3023281995 "NEW CASTLE" 552778 "CO" "SO" "Y" "N" 454118 3 3796.2 535759.614 680414.70978 36.8628022724962
"DE" "DE0017" "24" "REHOBOTH BEACH PUBLIC LIBRARY" 32 14537 "226 REHOBOTH AVENUE
REHOBOTH BEACH, DE 19971
(38.71584, -75.082919)" "226 REHOBOTH AVENUE
REHOBOTH BEACH, DE 19971
" 38.71584 -75.082919 14537 1 0 0 2 4.88 1.4 6.28 189771 105669 0 124899 420339 205244 63134 268378 20165 3115 6180 29460 109488 407326 0 0 0 0 0 0 33566 19770 1885 2565 1741 0 10 31 41 108 2756 98873 2976 8828 86365 16397 8634 22634 17440 456 154 0 4690 2355 0 21 8940 2998 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "226 REHOBOTH AVE" "REHOBOTH BEACH" 19971 3022278044 "SUSSEX" 210849 "LD" "SO" "Y" "N" 485845 4.5 2904.495 571836.90915 726232.8746205 36.0474498535641
"DE" "DE0018" "25" "SEAFORD DISTRICT LIBRARY" 23 22874 "600 N MARKET ST EXT
SEAFORD, DE 19973
(38.656285, -75.617502)" "600 N MARKET ST EXT
SEAFORD, DE 19973
" 38.656285 -75.617502 22874 1 0 0 2.96 5.86 3.91 9.77 251330 87159 0 181291 519780 244033 46203 290236 29411 3765 10675 43851 138344 472431 0 0 0 111234 111234 222468 33317 19770 1357 2565 1885 0 3 31 34 57 2802 117502 925 9892 112825 26750 5401 23813 21495 793 208 58 9585 7551 1181 42 29831 4531 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "600 N MARKET ST EXT" "SEAFORD" 19973 3026292524 "SUSSEX" 210849 "LD" "SO" "Y" "N" 477898 4.5 4553.49 564468.2433 716874.668991 33.6349835242699
"DE" "DE0019" "26" "SELBYVILLE PUBLIC LIBRARY" 41 5161 "11 MAIN & MCCABE STREET
SELBYVILLE, DE 19975
(38.455674, -75.219479)" "11 MAIN & MCCABE STREET
SELBYVILLE, DE 19975
" 38.455674 -75.219479 5161 1 0 0 0 1 3.03 4.03 177337 31197 0 13925 222459 117854 12626 130480 21255 216 1002 22473 57685 210638 0 0 0 0 0 0 21632 19770 1341 2565 2302 0 3 31 34 37 2496 41231 18425 2967 44038 10524 2788 7531 19009 186 109 77 4415 3787 347 9 5935 1297 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "11 MAIN & MCCABE STREETS" "SELBYVILLE" 19975 3024368195 "SUSSEX" 210849 "LD" "SO" "Y" "N" 329461 7 1688.31 387444.6927 492054.759729 48.9310726997397
"DE" "DE0020" "27" "SMYRNA PUBLIC LIBRARY" 22 33116 "107 SOUTH MAIN STREET
SMYRNA, DE 19977
(39.299674, -75.604654)" "107 SOUTH MAIN STREET
SMYRNA, DE 19977
" 39.299674 -75.604654 33116 1 0 0 0 2 3.53 5.53 301839 88070 0 22727 412636 221194 42573 263767 19811 4024 2646 26481 51939 342187 0 0 0 0 0 0 24024 19770 833 2565 2272 0 2 31 33 7 2782 84713 200 7687 86947 25685 5517 27682 14284 177 165 12 3226 3132 94 7 11688 3014 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "107 SOUTH MAIN STREET" "SMYRNA" 19977 3026534579 "KENT" 171987 "CI" "SO" "Y" "N" 353083 3 3809.94 417564.7398 530307.219546 13.2301080023549
"DE" "DE0022" "29" "WILMINGTON INSTITUTE LIBRARY" NA 62169 "10 EAST 10TH STREET
WILMINGTON, DE 19801
(0.0, 0.0)" "10 EAST 10TH STREET
WILMINGTON, DE 19801
" 39.745197 -75.547473 62169 1 1 0 7.88 7.88 19.76 27.64 1747078 365615 0 35014 2147707 1406364 372120 1778484 38849 18176 0 57025 401342 2236851 0 0 0 0 0 0 161008 19770 4674 2565 8506 0 0 31 31 244 4811 126296 52167 30343 131956 13321 3977 31526 47555 151 45 65 4748 3025 1413 45 50993 6259 2015 2013-07-01 2014-06-30 1 2 0 0 7 "NO" "10 EAST 10TH STREET" "WILMINGTON" 19801 3025717402 "NEW CASTLE" 552778 "CC" "MO" "Y" "N" 2269641 2.25 8342.4075 2665240.586775 3384855.54520425 42.5605667483429
"DE" "DE0023" "3" "BRIDGEVILLE PUBLIC LIBRARY" 31 8511 "600 SOUTH CANNON STREET
BRIDGEVILLE, DE 19933
(38.736125, -75.601878)" "600 SOUTH CANNON STREET
BRIDGEVILLE, DE 19933
" 38.736125 -75.601878 8511 1 0 0 0 5.53 0.45 5.98 175580 41490 0 27663 244733 128509 22394 150903 25063 751 2159 27973 75441 254317 0 0 0 0 0 0 26175 19770 3046 2565 2003 0 3 31 34 104 2344 49279 1615 4443 65314 21058 2974 14203 24630 259 160 25 4723 3015 429 11 7041 2522 2015 2013-07-01 2014-06-30 1 2 0 0 0 "NO" "600 SOUTH CANNON STREET" "BRIDGEVILLE" 19933 3023377401 "SUSSEX" 210849 "LD" "SO" "Y" "N" 407759 7 2684.31 480218.6727 609877.714329 28.0597923865625
"DE" "DE0026" "6" "CORBIT-CALLOWAY MEMORIAL LIBRARY" 31 16232 "115 HIGH STREET
ODESSA, DE 19730
(39.454694, -75.655652)" "115 HIGH STREET
ODESSA, DE 19730
