"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"TX" "TX0035" "13" "ANSON PUBLIC LIBRARY" 42 2347 "1137 12TH ST
ANSON, TX 79501
(32.756029, -99.898509)" "1137 12TH ST
ANSON, TX 79501
" 32.756029 -99.898509 2347 1 0 0 0 0.68 0.02 0.7 11682 0 0 13115 24797 NA NA NA 4500 0 100 4600 NA 25095 0 0 0 0 0 0 17120 0 76 0 0 0 0 51 51 8 1460 4403 400 3500 5000 1800 0 0 0 26 25 0 289 229 0 6 1200 0 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "1137 12TH ST" "ANSON" 79501 3258232711 "JONES" 19936 "NP" "SO" "Y" "N" 223922 14.25 1108.3425 263285.500725 334372.58592075 23.3145608307662 0.0018396937020626 615.14314046079
"TX" "TX0006" "103" "DELEON CITY COUNTY LIBRARY" 43 4668 "125 E REYNOSA AVE
DE LEON, TX 76444
(32.108804, -98.536364)" "125 E REYNOSA AVE
DE LEON, TX 76444
" 32.108804 -98.536364 4668 1 0 0 0 1 0.5 1.5 53690 0 0 1408 55098 NA NA NA 9519 1000 1883 12402 NA 50118 0 0 0 0 0 0 10475 1588 615 607 815 5 0 51 51 20 1995 17418 2785 1760 15810 2478 167 19 12 5 5 0 125 125 0 11 4175 0 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "125 E REYNOSA AVE" "DE LEON" 76444 2548932417 "COMANCHE" 13550 "CI" "SO" "Y" "N" 155520 10 1625.4 183860.118 233502.34986 79.3816669242043 0.000158693658088892 37.0553420716358
"TX" "TX0020" "116" "DUBLIN PUBLIC LIBRARY" 33 3698 "206 W BLACKJACK ST
DUBLIN, TX 76446
(32.085509, -98.343785)" "206 W BLACKJACK ST
DUBLIN, TX 76446
" 32.085509 -98.343785 3698 1 0 0 0 3 0 3 131780 0 0 16075 147855 77264 18193 95457 7368 3000 1563 11931 29270 136658 0 0 0 0 0 0 16053 10583 776 5026 1590 0 0 51 51 30 2024 13525 488 4188 30711 7471 2423 7 36 51 28 6 865 572 90 20 4799 1258 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "PO BOX 427" "DUBLIN" 76446 2544454141 "ERATH" 40147 "CI" "SO" "Y" "N" 240737 10 1559.4 283486.788 360028.22076 90.6810247646021 0.000121609404360871 43.7828174797276
"TX" "TX0026" "121" "CENTENNIAL MEMORIAL LIBRARY" 33 3890 "210 S LAMAR ST
EASTLAND, TX 76448
(32.40059, -98.819021)" "210 S LAMAR ST
EASTLAND, TX 76448
" 32.40059 -98.819021 3890 1 0 0 0 0.62 0 0.62 18000 0 0 3191 21191 NA NA NA 2563 0 768 3331 NA 20782 0 0 0 0 0 2360 17243 0 550 0 344 0 0 51 51 0 1265 5849 598 2399 7689 753 0 0 0 1 1 0 10 10 0 7 1835 12 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "210 S LAMAR ST" "EASTLAND" 76448 2546292281 "EASTLAND" 18176 "NP" "SO" "Y" "Y" 236096 10 1260 277706.52 352687.2804 59.7506320694798 0.000280101214810193 98.7881356881431
"TX" "TX0069" "160" "LIBRARY OF GRAHAM" 33 8846 "910 CHERRY ST
GRAHAM, TX 76450
(33.099344, -98.587927)" "910 CHERRY ST
GRAHAM, TX 76450
" 33.099344 -98.587927 8846 1 0 0 0 2 1 3 280133 0 0 56348 336481 102889 41859 144748 26540 3000 5225 34765 100620 280133 0 0 0 0 0 0 57035 5721 2141 3616 2315 0 5 51 56 96 1956 49686 1524 8239 78171 18533 6651 0 157 46 46 0 3787 3787 0 20 9759 1726 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "910 CHERRY ST" "GRAHAM" 76450 9405490600 "YOUNG" 18350 "CI" "SO" "Y" "N" 801531 7 2307.66 940491.2322 1194423.864894 86.6789166181718 0.000133098466251815 158.975984471957
"TX" "TX0078" "17" "STONEWALL COUNTY LIBRARY" 43 1432 "516 S WASHINGTON AVE
ASPERMONT, TX 79502
(33.139764, -100.228807)" "516 S WASHINGTON AVE
ASPERMONT, TX 79502
" 33.139764 -100.228807 1432 1 0 0 0 0.6 0.22 0.82 37930 0 0 7362 45292 NA NA NA 3546 1500 300 5346 NA 45292 0 0 0 0 0 0 14265 2144 514 775 111 4 1 51 52 0 1172 2395 742 814 3196 635 927 58 31 22 9 3 404 245 77 8 814 624 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "PO BOX H" "ASPERMONT" 79502 9409892730 "STONEWALL" 1403 "CO" "SO" "Y" "N" 193930 14.25 735.18 227758.2606 289252.990962 54.4877088911381 0.000336823904552436 97.4273218192913
"TX" "TX0086" "177" "HASKELL COUNTY LIBRARY" 33 5875 "300 N AVE E
HASKELL, TX 79521
(33.158718, -99.733902)" "300 N AVE E
HASKELL, TX 79521
" 33.158718 -99.733902 5875 1 0 0 0 0.91 0.91 1.82 86479 0 0 773 87252 NA NA NA 5540 0 0 5540 NA 88688 0 0 0 0 0 0 10404 0 354 0 486 0 0 51 51 9 2048 8438 15611 1618 31185 8205 0 1 23 13 13 0 449 449 0 13 3395 52 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "300 N AVE E" "HASKELL" 79521 9408642747 "HASKELL" 5769 "CO" "SO" "Y" "N" 146874 7 1506.75 173605.4775 220478.956425 51.3205013147849 0.000379680436274594 83.7115463648113
"TX" "TX0110" "2" "ABILENE PUBLIC LIBRARY" 12 120099 "202 CEDAR ST
ABILENE, TX 79601
(32.450889, -99.735428)" "202 CEDAR ST
ABILENE, TX 79601
" 32.450889 -99.735428 120099 1 2 0 12 12 23.5 35.5 2473850 0 0 32333 2506183 1126890 381270 1508160 287460 122616 33509 443585 527760 2479505 0 0 0 0 0 0 306501 5467 14470 4351 27069 1357 27 51 78 133 9393 347999 81104 62945 796586 280195 99195 2469 4855 3101 2015 59 58151 52176 1039 74 114099 0 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "202 CEDAR ST" "ABILENE" 79601 3256772474 "TAYLOR" 135143 "CI" "MO" "Y" "N" 4529579 2.25 13431.6825 5315322.498525 6750459.57312675 6.51962590583232 0.0235263550258074 158813.70850474
"TX" "TX0115" "203" "KENT COUNTY LIBRARY" 43 807 "156 W 4TH ST
JAYTON, TX 79528
(33.248005, -100.577501)" "156 W 4TH ST
JAYTON, TX 79528
