"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"TX" "TX0035" "13" "ANSON PUBLIC LIBRARY" 42 2347 "1137 12TH ST
ANSON, TX 79501
(32.756029, -99.898509)" "1137 12TH ST
ANSON, TX 79501
" 32.756029 -99.898509 2347 1 0 0 0 0.68 0.02 0.7 11682 0 0 13115 24797 NA NA NA 4500 0 100 4600 NA 25095 0 0 0 0 0 0 17120 0 76 0 0 0 0 51 51 8 1460 4403 400 3500 5000 1800 0 0 0 26 25 0 289 229 0 6 1200 0 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "1137 12TH ST" "ANSON" 79501 3258232711 "JONES" 19936 "NP" "SO" "Y" "N" 223922 14.25 1108.3425 263285.500725 334372.58592075 96.0204235099771 0.000108460790576332 36.2663150160171
"TX" "TX0108" "197" "IRAAN PUBLIC LIBRARY" 43 2369 "120 W 5TH ST
IRAAN, TX 79744
(30.913013, -101.898354)" "120 W 5TH ST
IRAAN, TX 79744
" 30.913013 -101.898354 2369 1 0 0 0 1 0.62 1.62 103162 0 0 0 103162 NA NA NA 12573 0 1474 14047 NA 98951 0 0 0 0 0 0 17666 0 631 0 1274 0 0 51 51 17 2000 3900 202 1142 4335 603 0 0 0 4 4 0 62 62 0 4 1055 11 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "PO BOX 638" "IRAAN" 79744 4326392235 "PECOS" 15893 "CO" "SO" "Y" "N" 254824 14.25 1255.7475 299613.304575 380508.89681025 95.7198902582723 0.000109142931878222 41.5298566036184
"TX" "TX0031" "126" "SCHLEICHER COUNTY PUBLIC LIBRARY" 43 3206 "201 SW MAIN ST
ELDORADO, TX 76936
(30.855312, -100.605257)" "201 SW MAIN ST
ELDORADO, TX 76936
" 30.855312 -100.605257 3206 1 0 0 0 0.88 0.27 1.15 64268 0 0 6149 70417 NA NA NA 7424 1500 1004 9928 NA 64497 0 0 0 2200 2200 0 13537 6162 293 816 1380 4 0 51 51 5 1725 9402 152 1353 11650 2011 171 0 5 35 27 4 1037 912 51 8 1633 0 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "PO BOX 611" "ELDORADO" 76936 3258533767 "SCHLEICHER" 3162 "CO" "SO" "Y" "N" 198155 10 1134.3 233168.481 296123.97087 41.8683446019741 0.000570464232705889 168.928133828175
"TX" "TX0110" "2" "ABILENE PUBLIC LIBRARY" 12 120099 "202 CEDAR ST
ABILENE, TX 79601
(32.450889, -99.735428)" "202 CEDAR ST
ABILENE, TX 79601
" 32.450889 -99.735428 120099 1 2 0 12 12 23.5 35.5 2473850 0 0 32333 2506183 1126890 381270 1508160 287460 122616 33509 443585 527760 2479505 0 0 0 0 0 0 306501 5467 14470 4351 27069 1357 27 51 78 133 9393 347999 81104 62945 796586 280195 99195 2469 4855 3101 2015 59 58151 52176 1039 74 114099 0 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "202 CEDAR ST" "ABILENE" 79601 3256772474 "TAYLOR" 135143 "CI" "MO" "Y" "N" 4529579 2.25 13431.6825 5315322.498525 6750459.57312675 80.4061546453739 0.00015467545929353 1044.13043491579
"TX" "TX0118" "207" "KIMBLE COUNTY LIBRARY" 33 4481 "208 N 10TH ST
JUNCTION, TX 76849
(30.489447, -99.770928)" "208 N 10TH ST
JUNCTION, TX 76849
" 30.489447 -99.770928 4481 1 0 0 0 2 1 3 104404 0 0 31747 136151 62274 11041 73315 19659 1500 3890 25049 26561 124925 0 0 0 0 0 0 20304 6162 1061 0 1392 0 6 0 6 49 2214 21164 143 3764 18605 2069 1044 0 1 50 36 5 1199 608 132 18 6521 451 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "208 N 10TH ST" "JUNCTION" 76849 3254462342 "KIMBLE" 4438 "CO" "SO" "Y" "N" 297288 10 1794.3 349926.291 444406.38957 75.2878846059322 0.000176420809492152 78.402534991424
"TX" "TX0132" "22" "CALLAHAN COUNTY LIBRARY" 42 3262 "100 W 4TH STE B1
BAIRD, TX 79504
(32.394349, -99.394444)" "100 W 4TH STE B1
BAIRD, TX 79504
" 32.394349 -99.394444 3262 1 0 0 0 0.5 0 0.5 15129 0 0 487 15616 NA NA NA 720 0 0 720 NA 15602 0 0 0 0 0 0 16105 0 303 0 0 0 0 51 51 13 964 1394 17 196 1860 1160 0 0 0 0 0 0 0 0 0 2 342 0 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "100 W 4TH STE B1" "BAIRD" 79504 3258545875 "CALLAHAN" 13513 "CO" "SO" "Y" "N" 213563 10 1053.6 251101.422 318898.80594 88.8568840482069 0.000126653688030628 40.3897098808644
"TX" "TX0143" "23" "CARNEGIE LIBRARY OF BALLINGER" 32 5365 "204 N 8TH ST
BALLINGER, TX 76821
(31.737814, -99.948525)" "204 N 8TH ST
BALLINGER, TX 76821
" 31.737814 -99.948525 5365 1 0 0 0 0.8 0.5 1.3 15000 0 0 31103 46103 NA NA NA 4487 0 1000 5487 NA 73071 0 0 0 0 0 0 14602 100 500 0 735 0 0 51 51 0 1920 6718 2000 4332 8906 2189 0 0 0 6 4 1 360 300 10 8 2146 250 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "204 N 8TH ST" "BALLINGER" 76821 3253653616 "RUNNELS" 10416 "NP" "SO" "Y" "N" 206241 7 1321.65 242848.3005 308417.341635 33.8915806547551 0.000870595366939379 268.506708711191
"TX" "TX0166" "250" "MASON COUNTY M BEVEN ECKERT MEMORIAL LIBRARY" 43 4128 "410 POST HILL RD
MASON, TX 76856
(30.741735, -99.232104)" "410 POST HILL RD
MASON, TX 76856
" 30.741735 -99.232104 4128 1 0 0 0 1 1 2 98732 0 0 111181 209913 NA NA NA 14430 5280 6777 26487 NA 136426 0 0 0 0 0 13328 9684 326 644 576 2138 4 0 51 51 21 1940 40427 2912 2392 29752 4900 1725 136 48 465 107 0 3150 1198 0 15 4890 1526 2015 2014-01-01 2014-12-31 1 6 0 0 0 "ME" "PO BOX 1785" "MASON" 76856 3253475446 "MASON" 4071 "CO" "SO" "Y" "N" 163006 10 1538.4 192516.948 244496.52396 84.1785739816524 0.000141122698173197 34.5040091552029
"TX" "TX0174" "259" "MENARD PUBLIC LIBRARY" 43 2148 "105 E MISSION ST
MENARD, TX 76859
(30.914583, -99.783454)" "105 E MISSION ST
MENARD, TX 76859
