"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
"MN" "MN0034" "L0000" "LAKE AGASSIZ REGIONAL LIBRARY" 43 144085 "118 5TH ST S
MOORHEAD, MN 56560
(46.873143, -96.772379)" "118 5TH ST S
MOORHEAD, MN 56560
" 46.873143 -96.772379 136010 1 12 0 6 6 41.67 47.67 2696491 683212 4586 228904 3613193 1618291 475813 2094104 232787 71775 72874 377436 1040404 3511944 12551 0 0 0 12551 64010 206114 21621 9627 1393 19035 0 7 48 55 485 27687 649519 79898 56908 811058 288296 66291 16328 54073 3158 1471 216 37489 29294 1653 120 144937 17175 2015 2014-01-01 2014-12-31 1 4 0 0 0 "HQ" "118 5TH ST S" "MOORHEAD" 56560 2182333757 "CLAY" 61286 "MJ" "MO" "Y" "N" 3063793 2.25 16876.2375 3604383.007875 4577566.42000125 79.9384482762679
"MN" "MN0050" "N0000" "NORTHWEST REGIONAL LIBRARY" 43 48625 "210 LABREE AVENUE NORTH
THIEF RIVER FALLS, MN 56701
(48.118262, -96.180019)" "210 LABREE AVENUE NORTH
THIEF RIVER FALLS, MN 56701
" 48.118262 -96.180019 45900 1 6 0 4 11.61 5.04 16.6499999999999 684354 443771 0 50879 1179004 649801 109363 759164 120643 18675 10813 150131 371721 1281016 0 0 0 0 0 0 140678 17902 6933 580 14797 0 0 48 48 335 14688 211920 15041 19169 296572 124875 15650 44830 16291 1217 863 112 20679 15382 1609 54 34638 8584 2015 2014-01-01 2014-12-31 2 4 0 0 0 "HQ" "PO BOX 593" "THIEF RIVER FALLS" 56701 2186811066 "PENNINGTON" 14058 "MJ" "MA" "Y" "N" 2118089 3 6873.74999999999 2486206.4175 3157482.150225 56.786227752654
"MN" "MN0122" "X0050" "EAST GRAND FORKS CAMPBELL LIBRARY" 23 8640 "422 4TH STREET NORTHWEST
EAST GRAND FORKS, MN 56721
(47.930148, -97.025021)" "422 4TH STREET NORTHWEST
EAST GRAND FORKS, MN 56721
" 47.930148 -97.025021 8156 1 0 0 1 1 6.33 7.33 462476 2880 0 24618 489974 297728 58370 356098 41113 6300 2702 50115 84761 490974 0 0 0 0 0 0 50077 15751 1554 40 2723 0 0 48 48 40 3420 119912 26298 2699 35737 2476 808 0 0 194 95 22 17830 2644 1027 19 13830 -1 2015 2014-01-01 2014-12-31 2 4 0 0 0 "NO" "422 4TH STREET NORTHWEST" "EAST GRAND FORKS" 56721 2187739121 "POLK" 31704 "CI" "SO" "Y" "N" 707977 7 2913.9 831742.353 1056312.78831 16.6348520788769
"ND" "ND0016" "ND016" "CAVALIER PUBLIC LIBRARY" 43 2733 "106 WEST 2ND AVE SOUTH
CAVALIER, ND 58220
(48.793791, -97.625517)" "106 WEST 2ND AVE SOUTH
CAVALIER, ND 58220
" 48.793791 -97.625517 2733 1 0 0 0 0.9 0.25 1.15 31871 2003 0 3386 37260 NA NA NA 8277 1669 0 9946 NA 37260 0 0 0 0 0 0 14572 12805 154 3955 620 435 33 25 58 46 1456 5729 2860 1449 19461 2793 918 0 402 91 77 3 1757 1400 12 7 2000 -1 2015 2014-01-01 2014-12-31 2 4 0 0 0 "NO" "106 WEST 2ND AVE SOUTH" "CAVALIER" 58220 7012654746 "PEMBINA" 7128 "CI" "SO" "Y" "N" 200411 10 992.4 235641.978 299265.31206 59.2555355531021
"ND" "ND0002" "ND002" "JAMES RIVER VALLEY LIBRARY SYSTEM" 33 21120 "105 THIRD STREET SE
JAMESTOWN, ND 58401
(46.906337, -98.708278)" "105 THIRD STREET SE
JAMESTOWN, ND 58401
" 46.906337 -98.708278 21120 1 1 1 2.75 10.5 0 10.5 681274 110372 0 15150 806796 318200 96096 414296 86111 8372 27781 122264 214435 750995 0 0 0 0 0 0 69304 12805 2985 3955 6833 435 34 25 59 144 3165 99644 11172 9359 112855 66166 6801 266 391 206 194 11 4730 4388 332 16 23254 -1 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "PO BOX 2140" "JAMESTOWN" 58402 7012522990 "STUTSMAN" 21129 "CI" "MO" "Y" "N" 1031178 4.5 4426.2 1211656.914 1538804.28078 95.3198577641264
"ND" "ND0010" "ND010" "CANDO COMMUNITY LIBRARY" 43 1115 "523 MAIN
CANDO, ND 58324
(48.489868, -99.203228)" "523 MAIN
CANDO, ND 58324
" 48.489868 -99.203228 1115 1 0 0 0 1 0 1 13270 0 0 17520 30790 NA NA NA 3200 0 200 3400 NA 30790 0 0 0 0 0 0 26000 0 360 0 280 0 0 25 25 6 816 4498 62 749 6848 1818 0 0 288 27 16 8 621 551 58 4 600 20 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "PO BOX 798" "CANDO" 58324 7019684549 "TOWNER" 2310 "CI" "SO" "Y" "N" 346578 14.25 626.6625 406229.455125 515911.40800875 91.7752725262899
"ND" "ND0011" "ND011" "LAKE REGION PUBLIC LIBRARY" 33 11554 "423 7TH STREET NE
DEVILS LAKE, ND 58301
(48.114826, -98.859547)" "423 7TH STREET NE
DEVILS LAKE, ND 58301
