"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"AL" "AL0223" "999-073" "SATSUMA PUBLIC LIBRARY" 21 6133 "5466 OLD HIGHWAY 43
SATSUMA, AL 36572
(30.845112, -88.059791)" "5466 OLD HIGHWAY 43
SATSUMA, AL 36572
" 30.845112 -88.059791 6133 1 0 0 0 2 2 4 124826 5887 0 12041 142754 73443 17645 91088 2040 0 0 2040 14789 107917 0 0 0 0 0 0 15451 0 184 0 46 0 0 57 57 5 2120 14664 9441 6590 5437 1251 0 0 0 249 59 72 3051 1461 335 15 4385 1095 2015 2013-10-01 2014-09-30 1 5 0 0 0 "NO" "P.O. BOX 579" "SATSUMA" 36572 2516790700 "MOBILE" 415123 "CI" "SO" "Y" "N" 204593 7 1887.93 241582.6881 306810.013887 59.5299200940562 0.000282182060771165 86.5762819838633
"AL" "AL0080" "500-000" "BALDWIN COUNTY LIBRARY COOPERATIVE" 31 102376 "22251 PALMER STREET
ROBERTSDALE, AL 36567
(30.550709, -87.716861)" "22251 PALMER STREET
ROBERTSDALE, AL 36567
" 30.550709 -87.716861 102376 1 0 1 2 2 5 7 78561 101668 3751 14702 198682 112328 32182 144510 3354 0 0 3354 56650 204514 0 0 0 0 0 0 18944 7 1363 0 1383 0 0 57 57 2 3250 29730 3240 5286 31357 12047 0 151 39 33 1 0 94 30 0 7 12779 689 2015 2013-10-01 2014-09-30 1 5 0 0 0 "HQ" "P. O. BOX 399" "ROBERTSDALE" 36567 2519704010 "BALDWIN" 200111 "CO" "MO" "Y" "N" 282311 2.25 7960.38 339617.5146 431314.243542 72.580713363153 0.000189826803744513 81.8750042610604
"AL" "AL0081" "500-001" "DAPHNE PUBLIC LIBRARY" 13 22845 "2607 U.S. HIGHWAY 98
DAPHNE, AL 36526
(30.6181, -87.905194)" "2607 U.S. HIGHWAY 98
DAPHNE, AL 36526
" 30.6181 -87.905194 22845 1 0 0 4 6 7.3 13.3 783040 17819 20000 44362 865221 429960 181655 611615 56921 8706 37673 103300 156402 871317 0 0 0 0 0 0 59022 9695 4421 6363 6110 0 8 57 65 82 2547 263286 8309 23121 318303 119530 18470 185 87 362 210 96 7351 5615 1164 24 21880 3657 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "P.O. BOX 1225" "DAPHNE" 36526 2516212818 "BALDWIN" 200111 "CI" "SO" "Y" "N" 906335 4.5 5079.075 1066354.46775 1354270.1740425 62.3516689970458 0.000257219467091631 348.344652465302
"AL" "AL0082" "500-002" "FAIRHOPE PUBLIC LIBRARY" 13 16479 "501 FAIRHOPE AVENUE
FAIRHOPE, AL 36532
(30.523053, -87.90089)" "501 FAIRHOPE AVENUE
FAIRHOPE, AL 36532
" 30.523053 -87.90089 16479 1 0 0 2 5 9.39 14.39 670425 15818 2000 75112 763355 457069 61124 518193 56248 8722 37541 102511 94748 715452 0 0 0 0 0 0 71065 20801 5987 4872 5471 25 5 57 62 107 2704 208775 123894 20103 231295 67888 14630 181 35 869 173 82 22153 6944 1103 91 56475 49400 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "501 FAIRHOPE AVE." "FAIRHOPE" 36532 2519287483 "BALDWIN" 200111 "CI" "SO" "Y" "N" 1078285 4.5 4383.165 1266721.75305 1608736.6263735 61.4635586280837 0.000264706494657594 425.843033194613
"AL" "AL0083" "999-072" "FOLEY PUBLIC LIBRARY" 31 15402 "319 EAST LAUREL AVENUE
FOLEY, AL 36535
(30.406366, -87.679586)" "319 EAST LAUREL AVENUE
FOLEY, AL 36535
" 30.406366 -87.679586 15402 1 0 0 1 1 14 15 814760 12362 0 3000 830122 473065 87079 560144 62362 22211 24000 108573 89627 758344 0 0 0 0 0 3785 80123 25062 7207 5200 6252 25 6 57 63 54 2912 593458 82905 23927 822237 200457 269383 387 73 615 160 155 18831 8500 3211 36 30194 9360 2015 2013-10-01 2014-09-30 1 5 0 0 0 "NO" "319 EAST LAUREL AVENUE" "FOLEY" 36535 2519437665 "BALDWIN" 200111 "CI" "SO" "Y" "N" 1218888 4.5 4329.27 1431164.2059 1817578.541493 74.2158866388264 0.000181554174663674 329.988971987166
"AL" "AL0084" "500-004" "BAY MINETTE PUBLIC LIBRARY" 32 8316 "205 WEST SECOND STREET
BAY MINETTE, AL 36507
(30.882616, -87.776059)" "205 WEST SECOND STREET
BAY MINETTE, AL 36507
" 30.882616 -87.776059 8316 1 0 0 1 7 0 7 288229 7982 7000 11218 314429 171225 66072 237297 40256 3265 6213 49734 44000 331031 0 0 0 0 0 0 43195 20801 4964 5231 3520 25 4 57 61 44 2600 78500 59849 11241 96224 16643 5013 218 128 110 84 0 3859 3561 0 11 20845 -1 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "205 WEST 2ND ST." "BAY MINETTE" 36507 2515801648 "BALDWIN" 200111 "CI" "SO" "Y" "N" 672894 7 2796.36 790557.7212 1004008.305924 75.6722953736332 0.000174632947696097 175.332929974872
"AL" "AL0085" "500-005" "LOXLEY PUBLIC LIBRARY" 23 1680 "1001 EAST LOXLEY AVENUE
LOXLEY, AL 36551
(30.619925, -87.752939)" "1001 EAST LOXLEY AVENUE
LOXLEY, AL 36551
" 30.619925 -87.752939 1680 1 0 0 0 1 1 2 37521 1616 0 500 39637 NA NA NA 3000 450 1250 4700 NA 42220 0 0 0 0 0 0 9542 40 213 30 743 0 0 57 57 0 1350 20000 6000 1289 8961 3141 -1 26 1 2 1 1 40 25 15 13 6000 0 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "P. O. BOX 527" "LOXLEY" 36551 2519645695 "BALDWIN" 200111 "CI" "SO" "Y" "N" 137059 14.25 1018.2 161550.324 205168.91148 71.2382544986958 0.000197048648534489 40.4282567284261
"AL" "AL0086" "500-006" "OSCAR JOHNSON MEMORIAL LIBRARY" 31 729 "21967 SIXTH STREET
SILVERHILL, AL 36576
(30.545083, -87.751866)" "21967 SIXTH STREET
SILVERHILL, AL 36576
" 30.545083 -87.751866 729 1 0 0 0 1 0 1 4200 700 0 750 5650 NA NA NA 400 0 300 700 NA 4000 0 0 0 0 0 0 9421 0 393 0 913 0 0 57 57 0 780 3288 52 274 1418 634 0 19 0 1 1 0 112 112 0 5 250 700 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "PO BOX 185" "SILVERHILL" 36576 2519455201 "BALDWIN" 200111 "CI" "SO" "Y" "N" 139676 22.5 642.075 164172.14775 208498.6276425 70.4628680336837 0.000201409229298657 41.9935479033035
"AL" "AL0087" "999-071" "ROBERTSDALE PUBLIC LIBRARY" 31 5547 "18301 PENNSYLVANIA STREET
ROBERTSDALE, AL 36567
(30.552994, -87.713401)" "18301 PENNSYLVANIA STREET
ROBERTSDALE, AL 36567
" 30.552994 -87.713401 5547 1 0 0 0 1 3 4 321482 4739 0 0 326221 167607 50280 217887 31517 0 8515 40032 19286 277205 0 0 0 0 0 0 30243 0 3138 0 1628 0 0 57 57 29 2624 70158 11103 8779 82190 17334 0 103 6 102 102 0 2882 2654 0 13 46327 28028 2015 2013-10-01 2014-09-30 2 5 0 0 0 "NO" "18301 PENNSYLVANIA ST." "ROBERTSDALE" 36567 2519478960 "BALDWIN" 200111 "CI" "SO" "Y" "N" 456079 7 1764.87 535677.3279 680310.206433 72.8054080205908 0.000188656911257573 128.345222242652
"AL" "AL0088" "500-008" "GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY" 31 10118 "221 WEST 19TH AVENUE
GULF SHORES, AL 36542
(30.272484, -87.692269)" "221 WEST 19TH AVENUE
GULF SHORES, AL 36542
" 30.272484 -87.692269 10118 1 0 0 3 7 3 10 544796 9712 0 15203 569711 336146 101658 437804 17660 13473 22065 53198 78709 569711 0 0 0 0 0 0 44728 20801 4879 4931 4182 25 9 57 66 56 2548 189267 13710 22348 95079 13760 22815 153 72 456 178 12 8787 5747 231 24 13161 -1 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "221 W. 19TH AVE." "GULF SHORES" 36542 2519681176 "BALDWIN" 200111 "CI" "SO" "Y" "N" 701065 4.5 2865.93 823599.1881 1045970.968887 74.134051903362 0.000181955222167551 190.319880024643
"AL" "AL0113" "505-000" "ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM" 32 21099 "700 EAST CHURCH STREET
ATMORE, AL 36502
(31.022624, -87.485738)" "700 EAST CHURCH STREET
ATMORE, AL 36502
" 31.022624 -87.485738 21099 1 0 0 0 1.5 0 1.5 25000 20238 3000 3306 51544 NA NA NA 2454 1000 0 3454 NA 50851 0 0 0 0 0 0 6809 20285 19 4872 22 25 0 57 57 5 1820 0 300 378 4323 2100 1920 1548 0 0 0 0 0 0 0 24 17745 -1 2015 2013-10-01 2014-09-30 2 5 0 0 0 "HQ" "700 EAST CHURCH STREET" "ATMORE" 36502 2513684130 "ESCAMBIA" 37733 "CO" "SO" "N" "N" 90195 4.5 3073.365 109123.98705 138587.4635535 95.3890118247872 0.000109901419145778 15.2309589203434
"AL" "AL0114" "505-001" "ATMORE PUBLIC" 32 10121 "700 E. CHURCH STREET
ATMORE, AL 36502
(31.022624, -87.485738)" "700 E. CHURCH STREET
ATMORE, AL 36502
" 31.022624 -87.485738 10121 1 0 0 0 5 0.3 5.3 263251 9705 7023 32994 312973 166936 57972 224908 25267 0 6716 31983 69255 326146 0 0 0 0 0 0 50721 20285 863 4872 948 25 2 57 59 35 2548 36244 14957 10798 49561 7843 992 0 0 106 60 17 2226 1190 201 32 13261 936 2015 2013-10-01 2014-09-30 1 5 0 0 0 "ME" "700 E. CHURCH STREET" "ATMORE" 36502 2513685234 "ESCAMBIA" 37733 "CI" "SO" "Y" "N" 684811 4.5 2161.335 803757.63195 1020772.1925765 95.3890118247872 0.000109901419145778 112.184312588705
"AL" "AL0164" "999-008" "CITRONELLE MEMORIAL LIBRARY" 42 3886 "7855 STATE STREET
CITRONELLE, AL 36522
(31.09093, -88.2292)" "7855 STATE STREET
CITRONELLE, AL 36522
" 31.09093 -88.2292 3886 1 0 0 0 4 0 4 101036 3730 0 686 105452 40740 0 40740 9685 0 1143 10828 53685 105253 0 0 0 0 0 0 29123 0 45 0 0 0 0 57 57 25 1560 9595 1000 811 7240 1719 0 0 0 3 3 0 240 240 0 17 3160 35 2015 2013-10-01 2014-09-30 1 5 0 0 0 "NO" "7855 STATE STREET" "CITRONELLE" 36522 2518667319 "MOBILE" 415123 "CI" "SO" "Y" "N" 380274 10 1765.8 446986.566 567672.93882 62.5590678797534 0.000255516801033829 145.049973360759
"AL" "AL0170" "999-014" "CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY" 21 6023 "224 GRANT STREET
CHICKASAW, AL 36611
(30.764924, -88.07839)" "224 GRANT STREET
CHICKASAW, AL 36611
" 30.764924 -88.07839 6023 1 0 0 0 1 1 2 42450 5781 0 4369 52600 NA NA NA 3863 0 886 4749 NA 27595 0 0 0 0 0 0 29900 0 71 0 2695 0 3 57 60 49 1820 4982 2049 3723 3261 1084 0 0 0 7 7 0 150 150 0 9 2049 0 2015 2013-10-01 2014-09-30 1 5 0 0 0 "NO" "P.O.BOX 11449" "CHICKASAW" 36671 2514526465 "MOBILE" 415123 "CI" "SO" "Y" "N" 425700 7 1564.83 499899.8511 634872.810897 55.9574118536459 0.000319363119285928 202.754961237891
"AL" "AL0171" "999-015" "JACKSON - WHITE SMITH MEMORIAL LIBRARY" 33 9899 "213 COLLEGE AVENUE
JACKSON, AL 36545
(31.512301, -87.893706)" "213 COLLEGE AVENUE
JACKSON, AL 36545
" 31.512301 -87.893706 9899 1 0 0 0 1 3 4 173210 9502 3000 13613 199325 102141 29586 131727 13962 0 294 14256 41940 187923 0 0 0 0 0 0 21232 0 834 0 1265 0 410 57 467 13 2092 16192 5343 10103 15028 4880 0 0 54 124 93 24 1954 1516 213 23 8710 420 2015 2013-10-01 2014-09-30 1 5 0 0 0 "NO" "PO BOX 265" "JACKSON" 36545 2512464962 "CLARKE" 24945 "CI" "SO" "Y" "N" 304507 7 2678.79 359407.3743 456447.365361 97.6278758498675 0.000104918559589981 47.8898001023177
