"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
"TX" "TX0097" "187" "HONDO PUBLIC LIBRARY" 32 9002 "1011 19TH ST
HONDO, TX 78861
(29.347692, -99.139593)" "1011 19TH ST
HONDO, TX 78861
" 29.347692 -99.139593 9002 1 0 0 0 0.73 3.45 4.18 222691 0 0 1579 224270 110809 35087 145896 12170 2123 0 14293 62502 222691 0 0 0 0 0 0 23590 4334 521 0 716 0 1 51 52 15 2418 49991 3824 7681 28988 7150 1671 10 456 41 34 4 2458 2382 48 18 34605 4244 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "1011 19TH ST" "HONDO" 78861 8304265333 "MEDINA" 47894 "CI" "SO" "Y" "N" 323756 7 2517.42 381739.9014 484809.674778 99.0921897423511
"TX" "TX0009" "106" "VAL VERDE COUNTY LIBRARY" 33 48623 "300 SPRING ST
DEL RIO, TX 78840
(29.361141, -100.895693)" "300 SPRING ST
DEL RIO, TX 78840
" 29.361141 -100.895693 48623 1 0 0 0.94 7.5 2.98 10.48 588936 0 0 16413 605349 358493 145674 504167 69028 17980 2992 90000 40471 634638 0 0 0 0 0 381325 57589 500 1991 163 618 0 8 51 59 128 2416 120457 2829 20935 62337 30321 555 0 118 123 75 9 3586 2680 142 25 43831 990 2015 2013-10-01 2014-09-30 1 6 0 0 0 "ME" "300 SPRING ST" "DEL RIO" 78840 8307747595 "VAL VERDE" 48974 "CO" "SO" "Y" "N" 785363 3 5948.07 925833.9519 1175809.118913 6.79658235275008
"TX" "TX0025" "120" "EAGLE PASS PUBLIC LIBRARY" 33 41690 "589 E MAIN ST
EAGLE PASS, TX 78852
(28.708493, -100.500772)" "589 E MAIN ST
EAGLE PASS, TX 78852
