"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
"AZ" "AZ0028" "AE-MARICOPA" "MARICOPA COUNTY LIBRARY DISTRICT OFFICE" 21 4008651 "2700 NORTH CENTRAL AVENUE SUITE 700
PHOENIX, AZ 85004
(33.478012, -112.073879)" "2700 NORTH CENTRAL AVENUE SUITE 700
PHOENIX, AZ 85004
" 33.478012 -112.073879 2545091 1 17 0 61 61 151 212 18580142 25000 150000 1543517 20298659 8118490 2964887 11083377 3923283 1556184 1532270 7011737 6083279 24178393 0 0 0 0 0 156881 497342 119910 51167 63412 122233 624 21 27 48 1011 43472 3324522 2058151 63122 8001103 2387498 546935 540 135 4999 3074 0 117110 87680 0 402 531213 0 2015 2013-07-01 2014-06-30 2 6 0 0 0 "NO" "2700 NORTH CENTRAL AVENUE SUITE 700" "PHOENIX" 85004 6026523030 "MARICOPA" 4087191 "LD" "MA" "Y" "N" 8750879 2.25 302383.9425 10592317.642725 13452243.4062608 17.0571159054695
"AZ" "AZ0029" "AE-AVONDALE" "AVONDALE PUBLIC LIBRARY" 22 78090 "11350 NORTH CIVIC CENTER DRIVE
AVONDALE, AZ 85323
(33.445574, -112.302116)" "11350 NORTH CIVIC CENTER DRIVE
AVONDALE, AZ 85323
" 33.445574 -112.302116 49579 1 1 0 4 4 12.83 16.8299999999999 1328936 0 23887 78594 1431417 633522 144835 778357 4913 30026 46399 81338 502009 1361704 0 0 0 0 0 0 82699 5563 3873 812 5283 0 14 27 41 82 5430 281849 9396 22940 280164 113747 9421 293 323 539 301 40 10784 8422 361 80 100783 -1 2015 2013-07-01 2014-06-30 2 6 0 0 0 "NO" "11350 NORTH CIVIC CENTER DRIVE" "AVONDALE" 85323 6233332641 "MARICOPA" 4087191 "CI" "MO" "Y" "N" 1198781 2.25 7795.57499999998 1411694.59275 1792852.1327925 7.59624456614686
"AZ" "AZ0030" "AE-BUCKEYE" "BUCKEYE PUBLIC LIBRARY" 31 58795 "310 NORTH 6TH STREET
BUCKEYE, AZ 85326
(33.372702, -112.583529)" "310 NORTH 6TH STREET
BUCKEYE, AZ 85326
