"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
"CT" "CT0035" "3500" "DARIEN LIBRARY" 21 21330 "1441 POST ROAD
DARIEN, CT 06820
(41.068646, -73.477842)" "1441 POST ROAD
DARIEN, CT 06820
" 41.068646 -73.477842 17536 1 0 0 10.5 12.19 15.86 28.05 3400566 69660 0 1026080 4496306 2066509 699173 2765682 260545 186007 88836 535388 1140905 4441975 0 0 0 0 0 0 116720 4721 5863 3653 11299 0 30 40 70 275 3744 361833 89018 13663 662493 280284 21606 1339 664 1537 776 178 51776 24094 2051 71 156432 105551 2015 2013-07-01 2014-06-30 1 1 0 0 0 "ME" "1441 POST ROAD" "DARIEN" 6820 2036551234 "FAIRFIELD" 945438 "NP" "SO" "Y" "N" 1747236 4.5 7087.05 2052557.9685 2606748.619995 92.1566448405885
"CT" "CT0063" "5701" "GREENWICH LIBRARY" 21 62396 "101 WEST PUTNAM AVE.
GREENWICH, CT 06830
(41.028823, -73.628911)" "101 WEST PUTNAM AVE.
GREENWICH, CT 06830
" 41.028823 -73.628911 51296 1 2 0 24 45 47.23 92.23 7659230 37379 0 2892973 10589582 5669285 217248 5886533 842826 246513 203182 1292521 2011978 9191032 265000 0 0 0 265000 60907 356941 23161 53256 12070 35194 0 41 40 81 597 8258 671836 173931 34321 1271646 307746 85865 3855 1632 1557 612 204 51512 21510 7170 100 465468 -1 2015 2013-07-01 2014-06-30 1 1 0 0 0 "ME" "101 WEST PUTNAM AVE." "GREENWICH" 6830 2036227900 "FAIRFIELD" 945438 "NP" "MO" "Y" "N" 5802344 2.25 18046.23 6809856.5691 8648517.842757 85.1331137439616
"CT" "CT0064" "5712" "PERROT MEMORIAL LIBRARY" 21 62396 "90 SOUND BEACH AVE.
OLD GREENWICH, CT 06870
(41.038074, -73.569621)" "90 SOUND BEACH AVE.
OLD GREENWICH, CT 06870
" 41.038074 -73.569621 51296 1 0 0 10.25 10.25 10.83 21.08 1517267 6596 0 70159 1594022 1048424 375568 1423992 96446 26480 41389 164315 308145 1896452 0 0 0 0 0 0 62938 40716 3954 27653 3514 0 111 40 151 115 3124 175273 38915 6319 236249 103428 9349 274 192 457 421 20 14161 12475 755 16 19737 -1 2015 2013-07-01 2014-06-30 2 1 0 0 0 "ME" "90 SOUND BEACH AVE." "OLD GREENWICH" 6870 2036371066 "FAIRFIELD" 945438 "NP" "SO" "Y" "N" 917493 2.25 7373.73 1082094.0741 1374259.474107 87.5128091834823
"CT" "CT0099" "9000" "NEW CANAAN LIBRARY" 21 20194 "151 MAIN ST.
NEW CANAAN, CT 06840
(41.145663, -73.491674)" "151 MAIN ST.
NEW CANAAN, CT 06840
" 41.145663 -73.491674 16602 1 0 0 12.33 14.08 10.06 24.14 2301088 20188 0 724701 3045977 1581978 491277 2073255 148021 89530 48939 286490 659672 3019417 0 0 0 60208 60208 43043 142091 5767 12426 5702 13692 4 8 40 48 168 3325 219646 39940 14793 419380 189661 23081 421 506 776 421 52 21822 11243 395 30 31242 -1 2015 2013-07-01 2014-06-30 2 1 0 0 0 "ME" "151 MAIN ST." "NEW CANAAN" 6840 2035945000 "FAIRFIELD" 945438 "NP" "SO" "Y" "N" 2190251 4.5 6347.19 2570019.8823 3263925.250521 95.890965742794
"CT" "CT0113" "10301" "EAST NORWALK LIBRARY" 13 87776 "51 VAN ZANT ST.
NORWALK, CT 06855
(41.101715, -73.405715)" "51 VAN ZANT ST.
NORWALK, CT 06855
" 41.101715 -73.405715 72161 1 0 0 0 1.33 0.62 1.95 167000 0 0 25100 192100 NA NA NA 30750 0 9500 40250 NA 210555 0 0 0 0 0 0 27188 716 451 2653 2432 0 40 40 80 32 1716 6240 1405 2535 48484 4976 -1 0 0 23 12 2 1274 620 24 14 2543 -1 2015 2013-07-01 2014-06-30 1 1 0 0 0 "NO" "51 VAN ZANT ST." "NORWALK" 6855 2038380408 "FAIRFIELD" 945438 "NP" "SO" "Y" "N" 391969 2.25 6217.38 465878.0646 591665.142042 96.3249767200413
"CT" "CT0114" "10312" "NORWALK PUBLIC LIBRARY" 13 87776 "1 BELDEN AVE.
NORWALK, CT 06850
(41.116988, -73.415139)" "1 BELDEN AVE.
NORWALK, CT 06850
" 41.116988 -73.415139 72161 1 1 0 15.38 15.38 26.53 41.91 3405251 3706 0 0 3408957 2617926 1212508 3830434 260372 173144 63979 497495 497718 4825647 127000 0 0 0 127000 0 223974 3428 17417 2958 23649 0 31 40 71 235 5616 391671 46870 35738 534854 74718 13520 1214 701 2050 1695 133 31058 23424 1160 71 80560 -1 2015 2013-07-01 2014-06-30 1 1 0 0 0 "ME" "1 BELDEN AVE." "NORWALK" 6850 2038992780 "FAIRFIELD" 945438 "CI" "MO" "Y" "N" 3451770 2.25 12211.38 4052858.2146 5147129.932542 96.8170657107075
"CT" "CT0115" "10322" "ROWAYTON LIBRARY" 13 87776 "33 HIGHLAND AVE.
NORWALK, CT 06853
(41.06512, -73.436574)" "33 HIGHLAND AVE.
NORWALK, CT 06853
