"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
"ID" "ID0005" "IDB" "BOISE PUBLIC" 12 216282 "715 S CAPITOL BLVD
BOISE, ID 83702
(43.610066, -116.20707)" "715 S CAPITOL BLVD
BOISE, ID 83702
" 43.610066 -116.20707 214861 1 3 0 21 26 87.34 113.34 10223122 0 0 375797 10598919 3643209 1369877 5013086 756494 211615 0 968109 4154348 10135543 0 0 0 0 0 947232 354810 12988 31241 5177 25705 284 20 51 71 769 10768 1426828 251092 129937 2041202 860486 178478 3533 2196 3214 1570 46 87871 74066 187 152 346679 -1 2015 2013-10-01 2014-09-30 2 7 0 0 0 "ME" "715 S CAPITOL BLVD" "BOISE" 83702 2083844238 "ADA" 426236 "CI" "MO" "Y" "N" 5369665 2.25 31600.035 6319480.09095 8025739.7155065 42.8082001980528
"ID" "ID0006" "IDBC" "ADA COUNTY DISTRICT" 21 51743 "10664 W VICTORY RD
BOISE, ID 83709
(43.575717, -116.314839)" "10664 W VICTORY RD
BOISE, ID 83709
" 43.575717 -116.314839 51403 1 3 0 8.27999999999999 8.27999999999999 31.07 39.35 1600983 74787 9926 630573 2316269 1377618 375687 1753305 134911 25512 10659 171082 493087 2417474 0 0 0 0 0 5285 149601 4616 13290 549 19128 0 5 51 56 182 10400 352579 44845 23894 672015 396488 10424 435 316 2141 1586 259 50472 43803 3627 101 83203 5748 2015 2013-10-01 2014-09-30 1 7 0 0 0 "ME" "10664 W VICTORY RD" "BOISE" 83709 2083620181 "ADA" 426236 "LD" "MO" "Y" "N" 2373158 2.25 9395.1525 2787587.188425 3540235.72929975 43.2467603956214
"ID" "ID0007" "IDBE" "BELLEVUE PUBLIC" 33 2300 "117 E PINE
BELLEVUE, ID 83313
(43.463032, -114.25924)" "117 E PINE
BELLEVUE, ID 83313
" 43.463032 -114.25924 2285 1 0 0 0 1.23 0 1.23 69000 0 0 0 69000 NA NA NA 2150 0 0 2150 NA 62658 0 0 0 26000 26000 0 17118 0 150 0 205 0 0 51 51 2 1750 6000 624 2522 5146 3272 0 0 150 131 130 1 1824 1764 60 3 1500 1500 2015 2013-10-01 2014-09-30 1 7 0 0 0 "NO" "PO BOX 825" "BELLEVUE" 83313 2087884503 "BLAINE" 21482 "CI" "SO" "Y" "N" 227310 14.25 1167.75 267318.9675 339495.088725 85.7806923245218
"ID" "ID0011" "IDBR" "BRUNEAU VALLEY DISTRICT" 43 842 "32073 RUTH ST
BRUNEAU, ID 83604
(42.880712, -115.798888)" "32073 RUTH ST
BRUNEAU, ID 83604
