"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"IA" "IA0010" "AJ" "MATILDA J. GIBSON MEMORIAL LIBRARY" 33 12479 "200 W HOWARD ST
CRESTON, IA 50801
(41.061021, -94.362734)" "200 W HOWARD ST
CRESTON, IA 50801
" 41.061021 -94.362734 12299 1 0 0 0 4.13 0.38 4.51 199746 4368 0 43909 248023 116199 55161 171360 21722 6098 4426 32246 21160 224766 0 0 0 0 0 0 36992 15552 1216 8189 1907 0 10 17 27 44 2741 34976 1043 11215 53781 12166 1956 172 289 108 90 8 3803 3019 96 12 8425 3130 2015 2013-07-01 2014-06-30 1 4 0 0 0 "ME" "200 W HOWARD ST" "CRESTON" 50801 6417822277 "UNION" 12516 "CI" "SO" "Y" "N" 522607 4.5 2361.165 614212.75305 780050.1963735 81.01727908481 0.000152350783784586 118.841258808823
"IA" "IA0021" "AU" "MOUNT AYR PUBLIC LIBRARY" 43 3895 "121 W MONROE
MOUNT AYR, IA 50854
(40.713849, -94.237863)" "121 W MONROE
MOUNT AYR, IA 50854
" 40.713849 -94.237863 3839 1 0 0 0 1.27 0.08 1.35 38930 36 0 13800 52766 NA NA NA 1904 0 0 1904 NA 128306 0 0 0 0 0 22452 16747 0 380 4614 514 15 1 12 13 10 1248 9662 256 2470 13240 4437 -1 134 124 9 7 0 743 610 0 3 6256 -1 2015 2013-07-01 2014-06-30 4 4 0 0 0 "ME" "121 W MONROE" "MOUNT AYR" 50854 6414642159 "RINGGOLD" 5051 "CI" "SO" "Y" "N" 229598 10 1371 270233.73 343196.8371 92.1223432045043 0.00011783384463276 40.4402027812962
"IA" "IA0029" "BC" "DEXTER PUBLIC LIBRARY" 42 1188 "724 MARSHALL
DEXTER, IA 50070
(41.516848, -94.228132)" "724 MARSHALL
DEXTER, IA 50070
