"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
"CT" "CT0001" "100" "ANDOVER PUBLIC LIBRARY" 41 3273 "355 ROUTE 6
ANDOVER, CT 06232
(41.739419, -72.375283)" "355 ROUTE 6
ANDOVER, CT 06232
" 41.739419 -72.375283 2691 1 0 0 0.65 0.65 1.08 1.73 108094 1338 0 5308 114740 NA NA NA 12587 0 0 12587 NA 111454 0 0 0 0 0 0 19961 716 770 2653 1142 0 0 40 40 15 2124 11092 1205 2916 20171 4438 -1 951 772 116 93 0 1185 509 0 2 600 -1 2015 2013-07-01 2014-06-30 1 1 0 0 0 "ME" "P.O. BOX 117" "ANDOVER" 6232 8607427428 "TOLLAND" 151367 "CI" "SO" "Y" "N" 284634 10 1241.4 334474.218 424782.25686 76.3755257494239
"CT" "CT0003" "300" "BABCOCK LIBRARY" 42 4281 "25 POMPEY HOLLOW RD.
ASHFORD, CT 06278
(41.863665, -72.16198)" "25 POMPEY HOLLOW RD.
ASHFORD, CT 06278
" 41.863665 -72.16198 3519 1 0 0 1.31 2.54 1.45 3.99 168835 1318 0 10380 180533 121563 29436 150999 6546 0 2280 8826 18764 178589 0 0 0 0 0 0 26877 716 762 2653 1183 0 0 40 40 60 2028 14799 1989 2014 39215 19160 -1 482 1276 267 142 8 5444 2652 77 7 7207 -1 2015 2013-07-01 2014-06-30 1 1 0 0 0 "ME" "25 POMPEY HOLLOW RD." "ASHFORD" 6278 8604874420 "WINDHAM" 116998 "CI" "SO" "Y" "N" 375781 10 1882.8 441866.646 561170.64042 62.4807402118076
"CT" "CT0004" "400" "AVON FREE PUBLIC LIBRARY" 21 18386 "281 COUNTRY CLUB RD.
AVON, CT 06001
(41.790295, -72.860347)" "281 COUNTRY CLUB RD.
AVON, CT 06001
