"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"NC" "NC0012" "R-NEUSE" "NEUSE REGIONAL LIBRARY" 42 90673 "510 N QUEEN ST
KINSTON, NC 28501
(35.265264, -77.581099)" "510 N QUEEN ST
KINSTON, NC 28501
" 35.265264 -77.581099 90673 1 7 0 4 4 30.29 34.29 1139740 321961 38583 753981 2254265 917215 265179 1182394 113114 48226 35786 197126 500854 1880374 0 0 0 0 0 0 197795 29190 5971 5517 11042 563 4 66 70 385 17472 441638 139680 62570 284076 66938 5619 0 68 903 606 16 27843 21635 1566 170 133782 -1 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "510 N QUEEN ST" "KINSTON" 28501 2525277066 "LENOIR" 58485 "MJ" "MO" "Y" "N" 2805159 2.25 11263.9275 3295214.825175 4184922.82797225 81.2664448965075 0.000151417990121291 633.672603424267
"NC" "NC0015" "R-SANDHILL" "SANDHILL REGIONAL LIBRARY SYSTEM" 32 229647 "412 E FRANKLIN ST
ROCKINGHAM, NC 28379
(34.938556, -79.7706)" "412 E FRANKLIN ST
ROCKINGHAM, NC 28379
" 34.938556 -79.7706 229647 0 15 2 5 6 44 50 1803705 559649 81951 129613 2574918 1324215 492418 1816633 172342 5991 19661 197994 546788 2561415 0 0 0 0 0 0 329170 29309 7210 1619 17995 563 0 66 66 313 28323 403782 182337 112043 442789 131884 549 112 103 1595 948 130 63189 53681 1795 125 85669 1738 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "412 E FRANKLIN ST" "ROCKINGHAM" 28379 9109973388 "RICHMOND" 45733 "MJ" "MA" "Y" "N" 4616569 2.25 23001.1725 5428297.101825 6893937.31931775 45.7311052328618 0.000478163701628149 3296.43058739741
"NC" "NC0017" "C-BLADEN" "BLADEN COUNTY PUBLIC LIBRARY" 42 35209 "111 N CYPRESS ST
ELIZABETHTOWN, NC 28337
(34.628567, -78.604194)" "111 N CYPRESS ST
ELIZABETHTOWN, NC 28337
" 34.628567 -78.604194 35209 1 2 1 1 1 8.26 9.26 390106 92822 55000 0 537928 312419 109664 422083 20000 1500 1500 23000 31000 476083 0 0 0 0 0 0 56572 28951 2073 1619 2973 563 0 66 66 39 6865 60256 5246 19036 65319 14564 278 0 15 763 571 0 9056 7640 0 14 22898 -1 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "PO BOX 1419" "ELIZABETHTOWN" 28337 9108626990 "BLADEN" 34657 "CO" "MO" "Y" "N" 802171 3 4557.81 943872.7077 1198718.338779 44.1487965424167 0.000513053034732543 615.006081500119
"NC" "NC0021" "C-CABARRUS" "CABARRUS COUNTY PUBLIC LIBRARY" 22 186457 "27 UNION ST N
CONCORD, NC 28025
(35.411094, -80.58198)" "27 UNION ST N
CONCORD, NC 28025
