"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
"AL" "AL0194" "999-045" "PHENIX CITY - RUSSELL COUNTY PUBLIC LIBRARY" 21 57820 "1501 17TH AVENUE
PHENIX CITY, AL 36867
(32.474962, -85.016021)" "1501 17TH AVENUE
PHENIX CITY, AL 36867
" 32.474962 -85.016021 57820 1 0 0 0 1 7.5 8.5 254914 55501 0 62688 373103 192265 66549 258814 20166 0 9834 30000 85331 374145 0 0 0 0 0 0 46182 0 576 0 3157 0 0 57 57 40 2661 135446 9411 47212 84415 18401 0 14 14 555 317 31 12268 8154 247 33 50351 1459 2015 2013-10-01 2014-09-30 1 5 0 0 0 "NO" "1501 17TH AVENUE" "PHENIX CITY" 36867 3342971139 "RUSSELL" 59608 "MJ" "SO" "Y" "N" 650900 2.25 5177.85 767611.0845 974866.077315 83.821307251858
"AL" "AL0200" "999-052" "VALLEY - H. GRADY BRADSHAW / CHAMBERS COUNTY LIBRARY" 32 34064 "3419 20TH AVENUE
VALLEY, AL 36854
(32.838742, -85.177666)" "3419 20TH AVENUE
VALLEY, AL 36854
" 32.838742 -85.177666 34064 1 1 0 1 2 10.25 12.25 75114 32697 0 682212 790023 395245 82085 477330 30555 4230 2269 37054 303077 817461 0 0 0 0 0 43021 104627 2500 2019 1300 6250 0 5 57 62 20 3597 202610 20417 26708 93673 35398 5688 17 51 346 172 18 14448 10229 194 19 27318 -1 2015 2013-10-01 2014-09-30 1 5 0 0 0 "NO" "3419 20TH AVENUE" "VALLEY" 36854 3347682161 "CHAMBERS" 34076 "CO" "MO" "Y" "N" 1468763 3 4903.26 1724189.5242 2189720.695734 93.2948780583544
"GA" "GA0001" "GA0001" "PIEDMONT REGIONAL LIBRARY SYSTEM" 31 162220 "189 BELLVIEW STREET
WINDER, GA 30680
(33.998497, -83.723834)" "189 BELLVIEW STREET
WINDER, GA 30680
" 33.998497 -83.723834 162210 1 9 1 10 10 28 38 2046198 483360 0 49981 2579539 1284404 382404 1666808 144580 39892 0 184472 684207 2535487 1186682 1900000 0 0 3086682 3086682 224165 1960 9786 0 15530 0 1 165 166 203 20817 498493 173550 55416 556270 275929 19940 20565 27095 1964 1041 130 45830 34011 3152 166 157788 15079 2015 2013-07-01 2014-06-30 1 5 0 0 15 "NO" "189 BELLVIEW STREET" "WINDER" 30680 7063679399 "BARROW" 73240 "MJ" "MO" "Y" "N" 3253362 2.25 16649.85 3825913.8645 4858910.607915 94.2814191523314
"GA" "GA0003" "GA0003" "FITZGERALD-BEN HILL COUNTY LIBRARY" 33 18092 "123 NORTH MAIN STREET
FITZGERALD, GA 31750
(31.715232, -83.254279)" "123 NORTH MAIN STREET
FITZGERALD, GA 31750
