"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
"IL" "IL0028" "30028" "AUBURN PUBLIC LIBRARY" 31 4771 "338 WEST JEFFERSON STREET
AUBURN, IL 62615
(39.591834, -89.745744)" "338 WEST JEFFERSON STREET
AUBURN, IL 62615
" 39.591834 -89.745744 4757 1 0 0 0 0.88 0.65 1.53 89059 5964 0 14872 109895 NA NA NA 16559 1666 3206 21431 NA 96295 0 0 0 0 0 8496 34851 210 661 0 2595 0 0 22 22 46 1820 17027 11027 2139 17208 7604 858 0 507 130 60 18 2773 1705 241 7 1679 -1 2015 2013-05-01 2014-04-30 2 3 0 0 0 "ME" "338 WEST JEFFERSON STREET" "AUBURN" 62615 2174386211 "SANGAMON" 198997 "CI" "SO" "Y" "N" 496304 10 1660.8 582618.816 739925.89632 72.8097833786401
"IL" "IL0053" "30057" "BLUFFS PUBLIC LIBRARY" 43 715 "110 NORTH BLUFF STREET
BLUFFS, IL 62621
(39.750481, -90.535223)" "110 NORTH BLUFF STREET
BLUFFS, IL 62621
" 39.750481 -90.535223 713 1 0 0 0 0.63 0 0.63 8512 3587 395 403 12897 NA NA NA 345 0 26 371 NA 13040 0 0 0 0 0 0 9004 0 239 0 115 0 3 22 25 5 1300 1907 493 347 1921 537 0 0 0 20 4 12 309 136 122 1 94 -1 2015 2013-05-01 2014-04-30 2 3 0 0 0 "ME" "PO BOX 177" "BLUFFS" 62621 2177543804 "SCOTT" 5204 "CI" "SO" "Y" "N" 121764 22.5 577.125 143139.11625 181786.6776375 91.1632899037068
"IL" "IL0005" "30005" "ALBION PUBLIC LIBRARY" 43 1988 "6 NORTH FOURTH STREET
ALBION, IL 62806
(38.377131, -88.056268)" "6 NORTH FOURTH STREET
ALBION, IL 62806
