"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
"GA" "GA0039" "GA0039" "EAST CENTRAL GEORGIA REGIONAL LIBRARY SYSTEM" 12 234310 "823 TELFAIR STREET
AUGUSTA, GA 30901
(33.472678, -81.968658)" "823 TELFAIR STREET
AUGUSTA, GA 30901
" 33.472678 -81.968658 234295 1 8 0 12 12 46.5 58.5 3129256 602105 0 190390 3921751 1922814 499891 2422705 119120 22000 7400 148520 1044792 3616017 0 0 0 0 0 0 348983 6291 5767 4929 26134 1 12 165 177 265 20962 461346 132241 106609 594281 177327 9295 28595 24028 2332 813 274 40533 21933 3951 293 280340 50354 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "823 TELFAIR STREET" "AUGUSTA" 30901 7068212600 "RICHMOND" 201368 "MJ" "MO" "Y" "N" 4968122 2.25 24590.925 5841474.12225 7418672.1352575 92.9709987805261
"NC" "NC0015" "R-SANDHILL" "SANDHILL REGIONAL LIBRARY SYSTEM" 32 229647 "412 E FRANKLIN ST
ROCKINGHAM, NC 28379
(34.938556, -79.7706)" "412 E FRANKLIN ST
ROCKINGHAM, NC 28379
" 34.938556 -79.7706 229647 0 15 2 5 6 44 50 1803705 559649 81951 129613 2574918 1324215 492418 1816633 172342 5991 19661 197994 546788 2561415 0 0 0 0 0 0 329170 29309 7210 1619 17995 563 0 66 66 313 28323 403782 182337 112043 442789 131884 549 112 103 1595 948 130 63189 53681 1795 125 85669 1738 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "412 E FRANKLIN ST" "ROCKINGHAM" 28379 9109973388 "RICHMOND" 45733 "MJ" "MA" "Y" "N" 4616569 2.25 23001.1725 5428297.101825 6893937.31931775 77.7226730273971
"NC" "NC0021" "C-CABARRUS" "CABARRUS COUNTY PUBLIC LIBRARY" 22 186457 "27 UNION ST N
CONCORD, NC 28025
(35.411094, -80.58198)" "27 UNION ST N
CONCORD, NC 28025
" 35.411094 -80.58198 186457 1 3 0 8 8 26.4 34.4 2043291 178878 62763 413377 2698309 1452485 607180 2059665 263859 30757 45270 339886 298758 2698309 0 0 0 0 0 0 206978 31258 7003 3851 5549 563 10 66 76 395 9672 415387 48614 72634 699884 326979 12300 242 203 1618 1227 108 33427 26021 710 52 79417 5291 2015 2013-07-01 2014-06-30 1 5 0 0 0 "NO" "27 UNION ST N" "CONCORD" 28025 7049202063 "CABARRUS" 192103 "CO" "MO" "Y" "N" 2861365 2.25 17745.8475 3368559.691575 4278070.80830025 99.6242070173127
"NC" "NC0045" "C-MECKLENBURG" "CHARLOTTE MECKLENBURG LIBRARY" 11 991867 "310 N TRYON ST
