"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"OK" "OK8002" "251" "APACHE PUBLIC LIBRARY" 42 1445 "111 E. EVANS
APACHE, OK 73006
(34.893499, -98.365706)" "111 E. EVANS
APACHE, OK 73006
" 34.893499 -98.365706 1443 1 0 0 0 0.75 0.25 1 18964 424 0 4242 23630 NA NA NA 100 0 25 125 NA 16663 0 0 0 0 0 0 16962 0 75 0 1112 0 0 35 35 0 1144 3821 7904 389 3295 375 0 0 0 0 0 0 0 0 0 6 1192 1650 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "P.O. BOX 593" "APACHE" 73006 5805883661 "CADDO" 29317 "CI" "SO" "Y" "N" 236207 14.25 767.7375 277260.442875 352120.76245125 64.2485130264989 0.000242255607496203 85.3032292196539
"OK" "OK0017" "23" "CARNEGIE PUBLIC LIBRARY" 43 1716 "6 E MAIN
CARNEGIE, OK 73015
(35.105764, -98.600265)" "6 E MAIN
CARNEGIE, OK 73015
" 35.105764 -98.600265 1714 1 0 0 0 0.75 0.25 1 24356 3255 69 0 27680 NA NA NA 2846 0 40 2886 NA 27677 0 0 0 0 0 0 11206 0 496 0 425 0 0 35 35 0 780 6072 104 1226 3353 977 0 0 0 6 6 0 68 68 0 6 1059 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "P. O. BOX 7" "CARNEGIE" 73015 5806541980 "CADDO" 29317 "CI" "SO" "Y" "N" 157921 14.25 883.59 185801.3703 235967.740281 78.6053659073843 0.000161843630728742 38.1898758219339
"OK" "OK0002" "6" "SOUTHERN PRAIRIE LIBRARY SYSTEM" 33 29143 "421 N. HUDSON
ALTUS, OK 73521
(34.641377, -99.335261)" "421 N. HUDSON
ALTUS, OK 73521
" 34.641377 -99.335261 29103 1 1 0 2 8.25 0 8.25 616095 30236 0 181218 827549 332257 111313 443570 39078 16743 6606 62427 157146 663143 0 0 0 0 0 0 69264 23062 2216 5783 1805 76 9 35 44 65 3276 194898 26780 17393 86998 13082 7236 371 199 515 140 8 115348 4830 34 26 18315 3036 2015 2013-07-01 2014-06-30 1 6 0 0 0 "HQ" "P.O. BOX 1141" "ALTUS" 73522 5804772890 "JACKSON" 25998 "MJ" "MO" "Y" "N" 954720 3 3860.37 1121539.0329 1424354.571783 66.214560253658 0.000228083044665825 324.871127415954
"OK" "OK0004" "11" "ANADARKO COMMUNITY LIBRARY" 41 6804 "215 W BROADWAY
ANADARKO, OK 73005
(35.074877, -98.253552)" "215 W BROADWAY
ANADARKO, OK 73005
" 35.074877 -98.253552 6795 1 0 0 0 1 3.05 4.05 152110 9298 0 250 161658 86499 30221 116720 6517 1350 1546 9413 27790 153923 0 0 0 5801 5801 5801 21070 23062 513 5783 583 76 3 35 38 66 2444 71760 18200 6982 54162 12969 3073 467 182 118 72 20 5243 3971 182 22 29126 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "215 W BROADWAY" "ANADARKO" 73005 4052477351 "CADDO" 29317 "CI" "SO" "Y" "N" 290006 7 2036.34 341689.5378 433945.713006 77.6421221244737 0.000165884269968725 71.984767808058
"OK" "OK0006" "13" "ARDMORE PUBLIC LIBRARY" 33 24950 "320 E STREET NW
ARDMORE, OK 73401
(34.178052, -97.133342)" "320 E STREET NW
ARDMORE, OK 73401
" 34.178052 -97.133342 24915 1 0 0 3 6 8 14 951439 24272 1314 138088 1115113 509777 215196 724973 74674 18266 44866 137806 97494 960273 0 0 0 86141 86141 86141 64199 23062 6343 4865 6114 76 13 35 48 143 2912 146515 17056 27578 287031 45639 9884 255 220 329 174 99 13618 12441 320 24 47169 21000 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "320 E STREET NW" "ARDMORE" 73401 5802238290 "CARTER" 48821 "CI" "SO" "Y" "N" 999467 4.5 5468.25 1175774.2425 1493233.287975 79.9768028625764 0.000156340653245451 233.453067689864
"OK" "OK0007" "1" "CHICKASAW REGIONAL LIBRARY SYSTEM" 43 96833 "601 RAILWAY EXPRESS
ARDMORE, OK 73401
(34.170281, -97.163544)" "601 RAILWAY EXPRESS
ARDMORE, OK 73401
" 34.170281 -97.163544 96698 1 7 0 3 16 2 18 1322584 70090 843 160489 1554006 784054 220672 1004726 62702 23261 16663 102626 387445 1494797 0 843 0 32999 33842 33842 162726 23062 3667 5783 7378 76 16 35 51 190 13858 221056 27560 70149 237841 50546 -1 624 250 1339 396 264 16644 11797 2105 52 59351 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "HQ" "601 RAILWAY EXPRESS" "ARDMORE" 73401 5802233164 "CARTER" 48821 "MJ" "MO" "Y" "N" 2263833 2.25 9236.2275 2659490.996175 3377553.56514225 78.1820714959847 0.000163600886841671 552.57075861252
"OK" "OK0021" "27" "CHICKASHA PUBLIC LIBRARY" 32 16374 "527 IOWA AVENUE
CHICKASHA, OK 73018
(35.047601, -97.93921)" "527 IOWA AVENUE
CHICKASHA, OK 73018
