"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"OK" "OK0018" "24" "CHANDLER PUBLIC LIBRARY" 32 3126 "1021 S MANVEL
CHANDLER, OK 74834
(35.700036, -96.880779)" "1021 S MANVEL
CHANDLER, OK 74834
" 35.700036 -96.880779 3122 1 0 0 0 2 0 2 110643 8806 0 0 119449 NA NA NA 5189 1500 0 6689 NA 112112 0 0 0 0 0 0 12543 23062 205 5783 172 0 0 35 35 7 2496 12760 2080 3664 8861 3324 -1 0 38 30 30 0 436 436 0 4 3488 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "1021 S. MANVEL" "CHANDLER" 74834 4052583204 "LINCOLN" 34619 "CI" "SO" "Y" "N" 168231 10 1237.8 198278.496 251813.68992 34.5650578099753 0.000836999936122169 210.768042377728
"OK" "OK0107" "94" "TRYON PUBLIC LIBRARY" 42 488 "25 S MAIN ST
TRYON, OK 74875
(35.869459, -96.963879)" "25 S MAIN ST
TRYON, OK 74875
" 35.869459 -96.963879 487 1 0 0 0 0 0.43 0.43 13500 3089 0 0 16589 NA NA NA 812 0 0 812 NA 13569 0 0 0 0 0 0 4990 0 0 0 355 0 0 35 35 0 780 1900 1664 392 2149 565 0 1 3 8 4 0 180 160 0 7 531 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "P O BOX 65" "TRYON" 74875 9183742220 "LINCOLN" 34619 "CI" "SO" "Y" "N" 69800 22.5 393.9 82126.863 104301.11601 39.2958212364891 0.000647600627808264 67.5454682091786
"OK" "OK8002" "251" "APACHE PUBLIC LIBRARY" 42 1445 "111 E. EVANS
APACHE, OK 73006
(34.893499, -98.365706)" "111 E. EVANS
APACHE, OK 73006
